tier,n_companies,index_build_s,avg_query_latency_ms
100k,100000,3.4444329739,172.08030921603685
200k,200000,8.3094244003,349.9143440644
300k,300000,12.9257214069,501.5903118336158
400k,397025,14.9992129803,647.0866090936631
