query_id,k,ndcg_retrained_on_new_gold,ndcg_original_model_scores
1,5,1.0,1.0
1,10,1.0,1.0
1,20,0.9259828609451662,1.0
2,5,0.934397461243829,1.0
2,10,0.9574284411791895,1.0
2,20,0.9538723307807847,0.9671121087334834
3,5,0.735182641392979,0.5730341749213532
3,10,0.8041511860524935,0.6487234577359062
3,20,0.8745396646474278,0.7335666423990562
4,5,1.0,1.0
4,10,1.0,1.0
4,20,0.9829685138720088,1.0
5,5,1.0,1.0
5,10,1.0,1.0
5,20,1.0,1.0
