method,query,k,ndcg,precision,recall,f1,overlap
Istari BM25,cybersecurity firms,1000,0.0355,0.038,0.038,0.038,19
Istari BM25,financial services companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,financial services companies,50,0.0,0.0,0.0,0.0,0
Istari BM25,financial services companies,100,0.0,0.0,0.0,0.0,0
Istari BM25,financial services companies,500,0.0016,0.002,0.001,0.0013,1
Istari BM25,financial services companies,1000,0.0017,0.002,0.002,0.002,1
Istari BM25,retail chains in Europe,10,0.0,0.0,0.0,0.0,0
Istari BM25,retail chains in Europe,50,0.0,0.0,0.0,0.0,0
Istari BM25,retail chains in Europe,100,0.0211,0.0,0.0,0.0,0
Istari BM25,retail chains in Europe,500,0.015,0.002,0.0169,0.0036,3
Istari BM25,retail chains in Europe,1000,0.0156,0.002,0.0339,0.0038,8
Istari BM25,construction companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,construction companies,50,0.0,0.0,0.0,0.0,0
Istari BM25,construction companies,100,0.0,0.0,0.0,0.0,0
Istari BM25,construction companies,500,0.0018,0.002,0.001,0.0013,1
Istari BM25,construction companies,1000,0.0019,0.002,0.002,0.002,1
Istari BM25,marketing agencies,10,0.0,0.0,0.0,0.0,0
Istari BM25,marketing agencies,50,0.0,0.0,0.0,0.0,0
Istari BM25,marketing agencies,100,0.0082,0.01,0.001,0.0018,1
Istari BM25,marketing agencies,500,0.0025,0.002,0.001,0.0013,1
Istari BM25,marketing agencies,1000,0.0023,0.002,0.002,0.002,1
Istari BM25,human resources software,10,0.0631,0.1,0.001,0.002,0
Istari BM25,human resources software,50,0.0579,0.06,0.003,0.0057,0
Istari BM25,human resources software,100,0.0656,0.07,0.007,0.0127,0
Istari BM25,human resources software,500,0.048,0.046,0.023,0.0307,15
Istari BM25,human resources software,1000,0.0476,0.046,0.046,0.046,23
Istari BM25,supply chain management companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,supply chain management companies,50,0.1404,0.14,0.016,0.0287,3
Istari BM25,supply chain management companies,100,0.131,0.08,0.0183,0.0298,3
Istari BM25,supply chain management companies,500,0.0929,0.044,0.0503,0.047,25
Istari BM25,supply chain management companies,1000,0.0933,0.044,0.1007,0.0612,46
Istari BM25,solar panel manufacturers,10,0.344,0.4,0.004,0.0079,0
Istari BM25,solar panel manufacturers,50,0.271,0.26,0.013,0.0248,3
Istari BM25,solar panel manufacturers,100,0.2219,0.2,0.02,0.0364,12
Istari BM25,solar panel manufacturers,500,0.1692,0.156,0.078,0.104,50
Istari BM25,solar panel manufacturers,1000,0.1652,0.156,0.156,0.156,78
Istari BM25,agricultural technology companies,10,0.2072,0.1,0.0012,0.0024,0
Istari BM25,agricultural technology companies,50,0.0942,0.04,0.0024,0.0045,0
Istari BM25,agricultural technology companies,100,0.0737,0.04,0.0048,0.0086,0
Istari BM25,agricultural technology companies,500,0.0364,0.022,0.0132,0.0165,10
Istari BM25,agricultural technology companies,1000,0.0314,0.022,0.0264,0.024,12
Istari BM25,electric vehicle manufacturers,10,0.3232,0.3,0.003,0.0059,0
Istari BM25,electric vehicle manufacturers,50,0.1562,0.12,0.006,0.0114,0
Istari BM25,electric vehicle manufacturers,100,0.1037,0.07,0.007,0.0127,0
Istari BM25,electric vehicle manufacturers,500,0.0638,0.052,0.026,0.0347,14
Istari BM25,electric vehicle manufacturers,1000,0.0592,0.052,0.052,0.052,26
Istari BM25,biotech companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,biotech companies,50,0.028,0.02,0.0024,0.0043,0
Istari BM25,biotech companies,100,0.071,0.06,0.0144,0.0232,0
Istari BM25,biotech companies,500,0.0818,0.05,0.0598,0.0545,28
Istari BM25,biotech companies,1000,0.0848,0.05,0.1196,0.0705,44
Istari BM25,digital transformation consultants,10,0.0,0.0,0.0,0.0,0
Istari BM25,digital transformation consultants,50,0.0,0.0,0.0,0.0,0
Istari BM25,digital transformation consultants,100,0.0152,0.02,0.002,0.0036,1
Istari BM25,digital transformation consultants,500,0.0288,0.032,0.016,0.0213,8
Istari BM25,digital transformation consultants,1000,0.0303,0.032,0.032,0.032,16
Istari BM25,cloud computing providers,10,0.0,0.0,0.0,0.0,0
Istari BM25,cloud computing providers,50,0.0158,0.02,0.001,0.0019,0
Istari BM25,cloud computing providers,100,0.0098,0.01,0.001,0.0018,0
Istari BM25,cloud computing providers,500,0.0101,0.01,0.005,0.0067,1
Istari BM25,cloud computing providers,1000,0.0101,0.01,0.01,0.01,5
Istari BM25,mobile app development companies,10,0.0,0.0,0.0,0.0,0
