tier,query_id,n_companies,index_build_s,query_latency_ms,method
200k,1,200000,,227.44418890215456,linq
200k,2,200000,,227.94450516812503,linq
200k,3,200000,,227.63963392935693,linq
200k,4,200000,,226.82784707285464,linq
200k,5,200000,,226.91723913885653,linq
200k,11,200000,,229.13710889406502,linq
200k,12,200000,,227.10939799435437,linq
200k,15,200000,,226.77788604050875,linq
200k,34,200000,,227.01044799759984,linq
200k,14,200000,,226.83578985743225,linq
200k,27,200000,,226.951208896935,linq
200k,66,200000,,227.13131387718022,linq
200k,72,200000,,227.10698493756354,linq
200k,99,200000,,226.79391992278397,linq
200k,101,200000,,226.97379998862743,linq
200k,56,200000,,226.89297702163458,linq
200k,82,200000,,227.0090919919312,linq
200k,91,200000,,226.77578893490136,linq
200k,92,200000,,229.28867302834988,linq
300k,1,300000,,337.35789614729583,linq
300k,2,300000,,337.0055011473596,linq
300k,3,300000,,337.4261630233377,linq
300k,4,300000,,337.0071661192924,linq
300k,5,300000,,337.3430520296097,linq
300k,11,300000,,336.9427160359919,linq
300k,12,300000,,337.75099902413785,linq
300k,15,300000,,339.1737248748541,linq
300k,34,300000,,338.5998101439327,linq
300k,14,300000,,337.32050005346537,linq
300k,27,300000,,337.2665939386934,linq
300k,66,300000,,337.07252494059503,linq
300k,72,300000,,338.04640593007207,linq
300k,99,300000,,337.0553199201822,linq
300k,101,300000,,337.3985050711781,linq
300k,56,300000,,339.34791502542794,linq
300k,82,300000,,337.409813888371,linq
300k,91,300000,,336.99151990003884,linq
300k,92,300000,,338.2714241743088,linq
400k,1,397025,,454.48141591623425,linq
400k,2,397025,,456.82227704674006,linq
400k,3,397025,,454.522566171363,linq
400k,4,397025,,455.90962399728596,linq
400k,5,397025,,455.4930448066443,linq
400k,11,397025,,454.52096895314753,linq
400k,12,397025,,454.49226489290595,linq
400k,15,397025,,457.3234689887613,linq
400k,34,397025,,454.5177409891039,linq
400k,14,397025,,454.45752306841314,linq
400k,27,397025,,454.3891150970012,linq
400k,66,397025,,454.8304029740393,linq
400k,72,397025,,454.45545203983784,linq
400k,99,397025,,454.71581001766026,linq
400k,101,397025,,455.70656191557646,linq
400k,56,397025,,454.93349293246865,linq
400k,82,397025,,454.62153293192387,linq
400k,91,397025,,455.1584448199719,linq
400k,92,397025,,454.55816108733416,linq
