method,query_id,query,k,precision,recall,ndcg
Ministral,20,construction companies,1000,0.058,0.58,0.3497089834067119
Ministral,21,marketing agencies,10,0.1,0.01,0.07336392209936005
Ministral,21,marketing agencies,50,0.04,0.02,0.04378378429344628
Ministral,21,marketing agencies,100,0.07,0.07,0.06626622450036296
Ministral,21,marketing agencies,1000,0.054,0.54,0.3201071384274744
Ministral,22,human resources software,10,0.1,0.01,0.06625422345438903
Ministral,22,human resources software,50,0.14,0.07,0.12322118623416865
Ministral,22,human resources software,100,0.15,0.15,0.13769227036108575
Ministral,22,human resources software,1000,0.091,0.91,0.5770612460878757
Ministral,23,supply chain management companies,10,0.1,0.01,0.07839826897867533
Ministral,23,supply chain management companies,50,0.16,0.08,0.1490878514568839
Ministral,23,supply chain management companies,100,0.12,0.12,0.12111731381353001
Ministral,23,supply chain management companies,1000,0.076,0.76,0.4683505671328826
Ministral,24,solar panel manufacturers,10,0.3,0.03,0.2618080742270754
Ministral,24,solar panel manufacturers,50,0.36,0.18,0.3360340386387805
Ministral,24,solar panel manufacturers,100,0.28,0.28,0.28310314367208
Ministral,24,solar panel manufacturers,1000,0.098,0.98,0.6886206932283375
Ministral,25,agricultural technology companies,10,0.5,0.05,0.5522654773870531
Ministral,25,agricultural technology companies,50,0.12,0.06,0.21314315445968735
Ministral,25,agricultural technology companies,100,0.13,0.13,0.1843670161764587
Ministral,25,agricultural technology companies,1000,0.065,0.65,0.47564452828682696
Ministral,26,electric vehicle manufacturers,10,0.4,0.04,0.40067051810063
Ministral,26,electric vehicle manufacturers,50,0.34,0.17,0.3524415726209588
Ministral,26,electric vehicle manufacturers,100,0.29,0.29,0.30890836529701104
Ministral,26,electric vehicle manufacturers,1000,0.093,0.93,0.6747638878622768
Ministral,27,biotech companies,10,0.4,0.04,0.4920062203073637
Ministral,27,biotech companies,50,0.2,0.1,0.2698842543781398
Ministral,27,biotech companies,100,0.15,0.15,0.20496011511683654
Ministral,27,biotech companies,1000,0.085,0.85,0.5987480541392615
Ministral,28,digital transformation consultants,10,0.0,0.0,0.0
Ministral,28,digital transformation consultants,50,0.08,0.04,0.06563601953839326
Ministral,28,digital transformation consultants,100,0.13,0.13,0.10749386012492085
Ministral,28,digital transformation consultants,1000,0.067,0.67,0.4068589915848407
Ministral,29,cloud computing providers,10,0.4,0.04,0.4220949603708207
Ministral,29,cloud computing providers,50,0.18,0.09,0.23495086240708193
Ministral,29,cloud computing providers,100,0.18,0.18,0.21515483080773978
Ministral,29,cloud computing providers,1000,0.078,0.78,0.5533832551299539
Ministral,30,mobile app development companies,10,0.0,0.0,0.0
Ministral,30,mobile app development companies,50,0.14,0.07,0.11867317041918984
Ministral,30,mobile app development companies,100,0.15,0.15,0.13463617908426184
Ministral,30,mobile app development companies,1000,0.096,0.96,0.5871717779487552
Ministral,31,web design agencies,10,0.0,0.0,0.0
Ministral,31,web design agencies,50,0.06,0.03,0.0523472525386901
Ministral,31,web design agencies,100,0.07,0.07,0.06344581477646859
Ministral,31,web design agencies,1000,0.08,0.8,0.4457484217763388
Ministral,32,SEO companies,10,0.5,0.05,0.5766882048947064
Ministral,32,SEO companies,50,0.12,0.06,0.21703576705853786
Ministral,32,SEO companies,100,0.09,0.09,0.15718111912497942
Ministral,32,SEO companies,1000,0.09,0.9,0.6192680476215618
Ministral,33,social media marketing agencies,10,0.1,0.01,0.22009176629808017
Ministral,33,social media marketing agencies,50,0.32,0.16,0.3252013380787802
Ministral,33,social media marketing agencies,100,0.27,0.27,0.2860246410680155
Ministral,33,social media marketing agencies,1000,0.086,0.86,0.6228473640926496
Ministral,34,venture capital firms,10,0.3,0.03,0.25284102718517737
Ministral,34,venture capital firms,50,0.16,0.08,0.17108839998647626
Ministral,34,venture capital firms,100,0.15,0.15,0.159426059195211
Ministral,34,venture capital firms,1000,0.068,0.68,0.45400370275537566
Ministral,35,private equity firms,10,0.1,0.01,0.13886244387355454
Ministral,35,private equity firms,50,0.16,0.08,0.1639440525183123
Ministral,35,private equity firms,100,0.15,0.15,0.1551003620554629
Ministral,35,private equity firms,1000,0.076,0.76,0.4888849119638136
Ministral,36,investment banks,10,0.3,0.03,0.2934367834519528
Ministral,36,investment banks,50,0.24,0.12,0.24541731897780422
Ministral,36,investment banks,100,0.18,0.18,0.19857810738030118
Ministral,36,investment banks,1000,0.082,0.82,0.5623883299045453
Ministral,37,insurance companies,10,0.0,0.0,0.0
Ministral,37,insurance companies,50,0.14,0.07,0.11157544906198538
Ministral,37,insurance companies,100,0.2,0.2,0.16856992686585648
Ministral,37,insurance companies,1000,0.094,0.94,0.5748293510397037
Ministral,38,real estate developers,10,0.3,0.03,0.4440973278132557
Ministral,38,real estate developers,50,0.14,0.07,0.22320027110781487
Ministral,38,real estate developers,100,0.1,0.1,0.16077857007095453
Ministral,38,real estate developers,1000,0.067,0.67,0.4810710160284664
Ministral,39,property management companies,10,0.2,0.02,0.21726071285222986
Ministral,39,property management companies,50,0.18,0.09,0.1904254274893122
Ministral,39,property management companies,100,0.13,0.13,0.14737314709414245
Ministral,39,property management companies,1000,0.09,0.9,0.580104558152448
Ministral,40,hospital management companies,10,0.4,0.04,0.5067837010870873
Ministral,40,hospital management companies,50,0.34,0.17,0.3798326971685402
Ministral,40,hospital management companies,100,0.29,0.29,0.32666278359997886
Ministral,40,hospital management companies,1000,0.081,0.81,0.6342963102122241
Ministral,41,medical device manufacturers,10,0.5,0.05,0.47684658870035296
Ministral,41,medical device manufacturers,50,0.28,0.14,0.29799668173782273
Ministral,41,medical device manufacturers,100,0.23,0.23,0.2521666024840066
Ministral,41,medical device manufacturers,1000,0.097,0.97,0.6808079145900192
Ministral,42,telecommunications companies,10,0.0,0.0,0.0
Ministral,42,telecommunications companies,50,0.06,0.03,0.04746524764060088
Ministral,42,telecommunications companies,100,0.07,0.07,0.05910404724308359
Ministral,42,telecommunications companies,1000,0.062,0.62,0.3594496986353278
Ministral,43,internet service providers,10,0.1,0.01,0.06943122193677727
Ministral,43,internet service providers,50,0.12,0.06,0.09893866219221627
Ministral,43,internet service providers,100,0.13,0.13,0.11352127947068037
Ministral,43,internet service providers,1000,0.088,0.88,0.5335733808827058
Ministral,44,manufacturing automation companies,10,0.1,0.01,0.07336392209936005
Ministral,44,manufacturing automation companies,50,0.06,0.03,0.0538549056533329
Ministral,44,manufacturing automation companies,100,0.14,0.14,0.11798298449341389
Ministral,44,manufacturing automation companies,1000,0.085,0.85,0.5081984522949606
Ministral,45,robotics companies,10,0.1,0.01,0.22009176629808017
Ministral,45,robotics companies,50,0.12,0.06,0.15846509412948892
Ministral,45,robotics companies,100,0.13,0.13,0.15151606551592642
Ministral,45,robotics companies,1000,0.094,0.94,0.599699402637743
Ministral,46,3D printing companies,10,0.0,0.0,0.0
Ministral,46,3D printing companies,50,0.12,0.06,0.09385722440729835
Ministral,46,3D printing companies,100,0.17,0.17,0.14176936838061643
Ministral,46,3D printing companies,1000,0.099,0.99,0.5840395796061821
Ministral,47,packaging companies,10,0.2,0.02,0.15457433957839825
Ministral,47,packaging companies,50,0.16,0.08,0.14962002268865227
Ministral,47,packaging companies,100,0.22,0.22,0.2001692495163898
Ministral,47,packaging companies,1000,0.095,0.95,0.5939533988215583
Ministral,48,food processing companies,10,0.1,0.01,0.07839826897867533
Ministral,48,food processing companies,50,0.12,0.06,0.11787782248431639
Ministral,48,food processing companies,100,0.12,0.12,0.12004538655034377
Ministral,48,food processing companies,1000,0.094,0.94,0.5745214263521239
Ministral,49,beverage companies,10,0.2,0.02,0.2082936658103318
Ministral,49,beverage companies,50,0.16,0.08,0.1699626129416277
Ministral,49,beverage companies,100,0.11,0.11,0.1278807164787783
Ministral,49,beverage companies,1000,0.093,0.93,0.5844846486816966
Ministral,50,mining companies,10,0.7,0.07,0.800693766409882
Ministral,50,mining companies,50,0.22,0.11,0.3453736904678379
Ministral,50,mining companies,100,0.18,0.18,0.26670907697991886
Ministral,50,mining companies,1000,0.092,0.92,0.6772351629380781
Ministral,51,oil and gas companies,10,0.1,0.01,0.07336392209936005
Ministral,51,oil and gas companies,50,0.1,0.05,0.0906160682605238
Ministral,51,oil and gas companies,100,0.14,0.14,0.12362511255171044
Ministral,51,oil and gas companies,1000,0.094,0.94,0.5646554299510658
Ministral,52,energy storage companies,10,0.6,0.06,0.624232247406789
Ministral,52,energy storage companies,50,0.32,0.16,0.3738705321981367
Ministral,52,energy storage companies,100,0.25,0.25,0.30088015632655046
Ministral,52,energy storage companies,1000,0.099,0.99,0.7207656415735257
Ministral,53,waste management companies,10,0.0,0.0,0.0
Ministral,53,waste management companies,50,0.06,0.03,0.041987890297497305
Ministral,53,waste management companies,100,0.14,0.14,0.11118528831333778
Ministral,53,waste management companies,1000,0.095,0.95,0.5524975490102746
Ministral,54,water treatment companies,10,0.2,0.02,0.28952298823485745
Ministral,54,water treatment companies,50,0.12,0.06,0.1636620946416212
Ministral,54,water treatment companies,100,0.13,0.13,0.15379578965259488
Ministral,54,water treatment companies,1000,0.1,1.0,0.6408603080302221
Ministral,55,aerospace companies,10,0.1,0.01,0.08514311764162098
Ministral,55,aerospace companies,50,0.18,0.09,0.16127289495824784
Ministral,55,aerospace companies,100,0.15,0.15,0.14533511232463595
Ministral,55,aerospace companies,1000,0.092,0.92,0.5757375947853736
Ministral,56,defense contractors,10,0.3,0.03,0.22466337602289155
Ministral,56,defense contractors,50,0.3,0.15,0.2951202390609061
Ministral,56,defense contractors,100,0.2,0.2,0.22017861496425822
