query_id,query,llm_extract_ms,filter_apply_ms,emb_slice_ms,index_build_ms,encode_ms,search_ms,total_online_ms,corpus_size,fallback_used
72,managed service providers (MSPs),1002.3,2.2,247.6,149.4,16.5,28.1,196.3,98716,True
73,remote monitoring and management (RMM) software,1002.0,2.2,248.0,149.5,17.3,28.2,197.2,98716,True
74,data center providers,1002.2,2.2,247.6,149.5,16.8,28.2,196.7,98716,True
75,web hosting companies,1002.0,2.3,248.0,149.5,17.7,28.2,197.6,98716,True
76,domain name registrars,1002.2,2.2,247.5,149.4,16.5,28.3,196.4,98716,True
77,content management systems (CMS),1002.0,2.2,248.1,149.5,17.4,28.2,197.3,98716,True
78,e-learning platforms,1002.3,2.3,247.5,149.8,16.4,28.5,196.9,98716,True
79,online marketing agencies,1002.0,2.3,248.1,149.5,17.3,28.2,197.2,98716,True
80,lead generation companies,1002.3,2.2,247.4,149.4,16.4,28.2,196.1,98716,True
81,market research firms,1002.0,2.2,248.1,149.5,17.5,28.2,197.4,98716,True
82,public relations agencies,1002.2,2.2,247.6,149.4,16.4,28.2,196.3,98716,True
83,graphic design studios,1002.0,2.2,247.8,149.5,17.2,28.2,197.1,98716,True
84,video production companies,1002.2,2.2,247.4,149.3,16.8,28.2,196.6,98716,True
85,translation services,1002.0,2.2,248.1,149.5,17.2,28.2,197.1,98716,True
86,legal technology companies,1002.3,2.2,247.4,149.4,16.4,28.1,196.2,98716,True
87,accounting software providers,1002.0,2.2,248.0,149.5,17.2,28.1,197.0,98716,True
88,tax preparation services,1002.2,2.2,247.3,149.5,16.9,28.1,196.7,98716,True
89,payroll processing companies,1002.0,2.2,248.1,149.5,17.2,28.2,197.2,98716,True
90,financial planning services,1002.2,2.2,247.4,149.5,16.4,28.1,196.2,98716,True
91,investment management firms,1002.0,2.2,248.2,149.6,17.6,28.2,197.7,98716,True
92,wealth management firms,1002.2,2.2,247.4,149.5,16.4,28.2,196.3,98716,True
93,commercial real estate brokers,1002.0,2.2,248.0,149.5,17.3,28.2,197.3,98716,True
94,residential real estate brokers,1002.2,2.2,247.7,149.4,16.6,28.3,196.5,98716,True
95,construction equipment manufacturers,1002.0,2.2,248.0,149.5,17.5,28.2,197.4,98716,True
96,building materials suppliers,1002.2,2.2,247.5,149.4,16.4,28.2,196.2,98716,True
97,renewable energy project developers,1002.0,2.2,248.0,149.5,17.2,28.1,197.1,98716,True
98,sustainable agriculture companies,1002.2,2.2,247.5,149.5,16.4,28.2,196.2,98716,True
99,vertical farming companies,1002.0,2.3,248.1,149.5,17.2,28.2,197.2,98716,True
100,precision agriculture technology providers,1002.2,2.3,248.4,149.4,16.4,28.1,196.2,98716,True
101,alternative protein manufacturers,1002.0,2.3,247.9,149.5,17.2,28.2,197.3,98716,True
