config,query_id,k,precision,recall,f1,ndcg
Exact (FlatL2),26,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),26,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),26,500,0.99,0.495,0.66,0.991944895467077
Exact (FlatL2),26,1000,0.918,0.918,0.918,0.9310530702920274
Exact (FlatL2),27,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),27,50,0.98,0.049,0.09333333333333334,0.9846298672989356
Exact (FlatL2),27,100,0.97,0.097,0.1763636363636364,0.9760434570120113
Exact (FlatL2),27,500,0.902,0.451,0.6013333333333334,0.9149297716971851
Exact (FlatL2),27,1000,0.742,0.742,0.7419999999999999,0.7741644649440154
Exact (FlatL2),28,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),28,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),28,100,0.98,0.098,0.17818181818181816,0.9855437164493942
Exact (FlatL2),28,500,0.968,0.484,0.6453333333333333,0.9715771314356867
Exact (FlatL2),28,1000,0.856,0.856,0.856,0.8764291209766611
Exact (FlatL2),29,10,0.9,0.009,0.01782178217821782,0.933745776545611
Exact (FlatL2),29,50,0.76,0.038,0.07238095238095238,0.7995549922744631
Exact (FlatL2),29,100,0.77,0.077,0.14,0.7908296566295181
Exact (FlatL2),29,500,0.84,0.42,0.5599999999999999,0.8371706532855331
Exact (FlatL2),29,1000,0.82,0.82,0.82,0.8225622177905315
Exact (FlatL2),30,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),30,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),30,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),30,500,0.988,0.494,0.6586666666666667,0.9899924214551983
Exact (FlatL2),30,1000,0.901,0.901,0.901,0.916590764029274
Exact (FlatL2),31,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),31,50,0.92,0.046,0.08761904761904762,0.9386142261001956
Exact (FlatL2),31,100,0.9,0.09,0.16363636363636364,0.9176444202167242
Exact (FlatL2),31,500,0.828,0.414,0.5519999999999999,0.8471160724254154
Exact (FlatL2),31,1000,0.691,0.691,0.691,0.7231952890820726
Exact (FlatL2),32,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),32,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),32,100,0.99,0.099,0.18,0.9918122023311187
Exact (FlatL2),32,500,0.974,0.487,0.6493333333333333,0.9776700376601933
Exact (FlatL2),32,1000,0.863,0.863,0.863,0.8834231634681757
Exact (FlatL2),33,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),33,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),33,100,0.98,0.098,0.17818181818181816,0.9851312210229055
Exact (FlatL2),33,500,0.76,0.38,0.5066666666666666,0.7954680299729252
Exact (FlatL2),33,1000,0.557,0.557,0.557,0.6083403781118412
Exact (FlatL2),34,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),34,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),34,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),34,500,0.888,0.444,0.592,0.9037778128756583
Exact (FlatL2),34,1000,0.777,0.777,0.777,0.8041126522399532
Exact (FlatL2),35,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),35,50,0.98,0.049,0.09333333333333334,0.9814066183482458
Exact (FlatL2),35,100,0.99,0.099,0.18,0.9885469107371714
Exact (FlatL2),35,500,0.958,0.479,0.6386666666666667,0.9624116333525149
Exact (FlatL2),35,1000,0.839,0.839,0.839,0.860432707688529
Exact (FlatL2),36,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),36,50,0.96,0.048,0.09142857142857141,0.9662597085620127
Exact (FlatL2),36,100,0.91,0.091,0.16545454545454544,0.9265068450104917
Exact (FlatL2),36,500,0.678,0.339,0.45199999999999996,0.7111168018491143
Exact (FlatL2),36,1000,0.55,0.55,0.55,0.5887265994181634
Exact (FlatL2),37,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),37,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),37,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),37,500,0.992,0.496,0.6613333333333333,0.9931618281449652
Exact (FlatL2),37,1000,0.928,0.928,0.928,0.9391685043134637
Exact (FlatL2),38,10,0.9,0.009,0.01782178217821782,0.9305687780632227
Exact (FlatL2),38,50,0.8,0.04,0.07619047619047618,0.8276898561318887
Exact (FlatL2),38,100,0.75,0.075,0.13636363636363635,0.7781349093036114
Exact (FlatL2),38,500,0.518,0.259,0.3453333333333333,0.5570247833232422
Exact (FlatL2),38,1000,0.429,0.429,0.429,0.4644352162559411
