tier,M,ef_construction,ef_search,k,recall,ndcg,query_latency_ms
100k,16,40,1000,10,0.04533308303416984,0.22748707068289864,1.797022942858013
100k,16,40,1000,50,0.13082788478455723,0.16804593420856792,1.797022942858013
100k,16,40,1000,100,0.16941119182825162,0.15865560992068364,1.797022942858013
100k,16,40,1000,300,0.32358421489508604,0.23758752596542668,1.797022942858013
100k,16,40,1000,500,0.45398122116885875,0.29369394175911645,1.797022942858013
100k,16,40,1000,1000,0.7440034962493811,0.40810709447283416,1.797022942858013
100k,32,200,10,10,0.043170141433593046,0.21520524124161647,0.2533898422322971
100k,32,200,10,50,0.11464855866419388,0.14600377572698603,0.2533898422322971
100k,32,200,10,100,0.1614995496330537,0.14735047823428227,0.2533898422322971
100k,32,200,10,300,0.2641542967381226,0.19955921732845366,0.2533898422322971
100k,32,200,10,500,0.2671353265484207,0.20095073909488564,0.2533898422322971
100k,32,200,10,1000,0.2671353265484207,0.20095073909488564,0.2533898422322971
100k,32,200,50,10,0.04533308303416984,0.22555644115396808,0.5183381037664061
100k,32,200,50,50,0.12722298211692923,0.16291715876556054,0.5183381037664061
100k,32,200,50,100,0.17052866234614975,0.15759342469703205,0.5183381037664061
100k,32,200,50,300,0.32397923074497625,0.2359721811042654,0.5183381037664061
100k,32,200,50,500,0.4451917050858065,0.2887857815554128,0.5183381037664061
100k,32,200,50,1000,0.5185840031211226,0.3196933903482582,0.5183381037664061
100k,32,200,100,10,0.04533308303416984,0.22555644115396808,0.7523564257242373
100k,32,200,100,50,0.13010690425103164,0.1662772826524753,0.7523564257242373
100k,32,200,100,100,0.16709531496298757,0.1563546256814745,0.7523564257242373
100k,32,200,100,300,0.3314081651549272,0.23960155740789194,0.7523564257242373
100k,32,200,100,500,0.4460618765415679,0.2896670295016133,0.7523564257242373
100k,32,200,100,1000,0.6466036483836997,0.370718510464841,0.7523564257242373
100k,32,200,200,10,0.04533308303416984,0.22555644115396808,1.194961635567444
100k,32,200,200,50,0.13082788478455723,0.16717364731703352,1.194961635567444
100k,32,200,200,100,0.17013217236177722,0.1583848352762626,1.194961635567444
100k,32,200,200,300,0.32485375473708444,0.2376530778874011,1.194961635567444
100k,32,200,200,500,0.4537633935336184,0.2931504143268258,1.194961635567444
100k,32,200,200,1000,0.7307082511940524,0.40367938161663924,1.194961635567444
100k,32,200,500,10,0.04533308303416984,0.22555644115396808,2.1113028418958972
100k,32,200,500,50,0.13082788478455723,0.16717364731703352,2.1113028418958972
100k,32,200,500,100,0.17013217236177722,0.15838083924948715,2.1113028418958972
100k,32,200,500,300,0.32502617596213723,0.23768025763873943,2.1113028418958972
