method,query,k,ndcg,precision,recall,overlap
Istari BM25,construction companies,100,0.0,0.0,0.0,0
Istari BM25,construction companies,500,0.0018,0.002,0.001,1
Istari BM25,construction companies,1000,0.0019,0.002,0.002,1
Istari BM25,marketing agencies,10,0.0,0.0,0.0,0
Istari BM25,marketing agencies,50,0.0,0.0,0.0,0
Istari BM25,marketing agencies,100,0.0082,0.01,0.001,1
Istari BM25,marketing agencies,500,0.0025,0.002,0.001,1
Istari BM25,marketing agencies,1000,0.0023,0.002,0.002,1
Istari BM25,human resources software,10,0.0631,0.1,0.001,0
Istari BM25,human resources software,50,0.0579,0.06,0.003,0
Istari BM25,human resources software,100,0.0656,0.07,0.007,0
Istari BM25,human resources software,500,0.048,0.046,0.023,15
Istari BM25,human resources software,1000,0.0476,0.046,0.046,23
Istari BM25,supply chain management companies,10,0.0,0.0,0.0,0
Istari BM25,supply chain management companies,50,0.1404,0.18,0.009,3
Istari BM25,supply chain management companies,100,0.131,0.15,0.015,3
Istari BM25,supply chain management companies,500,0.0929,0.092,0.046,25
Istari BM25,supply chain management companies,1000,0.0933,0.092,0.092,46
Istari BM25,solar panel manufacturers,10,0.344,0.4,0.004,0
Istari BM25,solar panel manufacturers,50,0.271,0.26,0.013,3
Istari BM25,solar panel manufacturers,100,0.2219,0.2,0.02,12
Istari BM25,solar panel manufacturers,500,0.1692,0.156,0.078,50
Istari BM25,solar panel manufacturers,1000,0.1652,0.156,0.156,78
Istari BM25,agricultural technology companies,10,0.2072,0.1,0.001,0
Istari BM25,agricultural technology companies,50,0.0942,0.04,0.002,0
Istari BM25,agricultural technology companies,100,0.0737,0.04,0.004,0
Istari BM25,agricultural technology companies,500,0.0364,0.024,0.012,10
Istari BM25,agricultural technology companies,1000,0.0314,0.024,0.024,12
Istari BM25,electric vehicle manufacturers,10,0.3232,0.3,0.003,0
Istari BM25,electric vehicle manufacturers,50,0.1562,0.12,0.006,0
Istari BM25,electric vehicle manufacturers,100,0.1037,0.07,0.007,0
Istari BM25,electric vehicle manufacturers,500,0.0638,0.052,0.026,14
Istari BM25,electric vehicle manufacturers,1000,0.0592,0.052,0.052,26
Istari BM25,biotech companies,10,0.0,0.0,0.0,0
Istari BM25,biotech companies,50,0.028,0.04,0.002,0
Istari BM25,biotech companies,100,0.071,0.09,0.009,0
Istari BM25,biotech companies,500,0.0818,0.088,0.044,28
Istari BM25,biotech companies,1000,0.0848,0.088,0.088,44
Istari BM25,digital transformation consultants,10,0.0,0.0,0.0,0
Istari BM25,digital transformation consultants,50,0.0,0.0,0.0,0
Istari BM25,digital transformation consultants,100,0.0152,0.02,0.002,1
Istari BM25,digital transformation consultants,500,0.0288,0.032,0.016,8
Istari BM25,digital transformation consultants,1000,0.0303,0.032,0.032,16
Istari BM25,cloud computing providers,10,0.0,0.0,0.0,0
Istari BM25,cloud computing providers,50,0.0158,0.02,0.001,0
Istari BM25,cloud computing providers,100,0.0098,0.01,0.001,0
Istari BM25,cloud computing providers,500,0.0101,0.01,0.005,1
Istari BM25,cloud computing providers,1000,0.0101,0.01,0.01,5
Istari BM25,mobile app development companies,10,0.0,0.0,0.0,0
Istari BM25,mobile app development companies,50,0.029,0.04,0.002,0
Istari BM25,mobile app development companies,100,0.0256,0.03,0.003,0
Istari BM25,mobile app development companies,500,0.0789,0.086,0.043,21
Istari BM25,mobile app development companies,1000,0.0822,0.086,0.086,43
Istari BM25,web design agencies,10,0.0,0.0,0.0,0
Istari BM25,web design agencies,50,0.0322,0.04,0.002,0
Istari BM25,web design agencies,100,0.0199,0.02,0.002,0
Istari BM25,web design agencies,500,0.0079,0.006,0.003,0
Istari BM25,web design agencies,1000,0.0072,0.006,0.006,3
Istari BM25,SEO companies,10,0.0,0.0,0.0,0
Istari BM25,SEO companies,50,0.0421,0.06,0.003,0
Istari BM25,SEO companies,100,0.041,0.05,0.005,0
Istari BM25,SEO companies,500,0.05,0.054,0.027,17
Istari BM25,SEO companies,1000,0.0518,0.054,0.054,27
Istari BM25,social media marketing agencies,10,0.1034,0.1,0.001,0
Istari BM25,social media marketing agencies,50,0.0838,0.08,0.004,1
Istari BM25,social media marketing agencies,100,0.0592,0.05,0.005,1
Istari BM25,social media marketing agencies,500,0.0281,0.022,0.011,7
Istari BM25,social media marketing agencies,1000,0.0258,0.022,0.022,11
Istari BM25,venture capital firms,10,0.0698,0.1,0.001,0
Istari BM25,venture capital firms,50,0.0576,0.06,0.003,0
Istari BM25,venture capital firms,100,0.0657,0.07,0.007,0
Istari BM25,venture capital firms,500,0.0638,0.066,0.033,16
Istari BM25,venture capital firms,1000,0.0649,0.066,0.066,33
Istari BM25,private equity firms,10,0.0,0.0,0.0,0
Istari BM25,private equity firms,50,0.0312,0.04,0.002,0
Istari BM25,private equity firms,100,0.0267,0.03,0.003,0
Istari BM25,private equity firms,500,0.0562,0.062,0.031,20
Istari BM25,private equity firms,1000,0.0588,0.062,0.062,31
Istari BM25,investment banks,10,0.0,0.0,0.0,0
Istari BM25,investment banks,50,0.0,0.0,0.0,0
Istari BM25,investment banks,100,0.0074,0.01,0.001,0
Istari BM25,investment banks,500,0.0129,0.014,0.007,3
Istari BM25,investment banks,1000,0.0134,0.014,0.014,7
Istari BM25,insurance companies,10,0.0,0.0,0.0,0
Istari BM25,insurance companies,50,0.0,0.0,0.0,0
Istari BM25,insurance companies,100,0.0072,0.01,0.001,0
Istari BM25,insurance companies,500,0.0059,0.006,0.003,2
Istari BM25,insurance companies,1000,0.006,0.006,0.006,3
Istari BM25,real estate developers,10,0.0,0.0,0.0,0
Istari BM25,real estate developers,50,0.0,0.0,0.0,0
Istari BM25,real estate developers,100,0.0,0.0,0.0,0
Istari BM25,real estate developers,500,0.005,0.006,0.003,2
Istari BM25,real estate developers,1000,0.0054,0.006,0.006,3
Istari BM25,property management companies,10,0.0,0.0,0.0,0
Istari BM25,property management companies,50,0.0,0.0,0.0,0
Istari BM25,property management companies,100,0.0,0.0,0.0,0
Istari BM25,property management companies,500,0.0087,0.01,0.005,2
Istari BM25,property management companies,1000,0.0092,0.01,0.01,5
Istari BM25,hospital management companies,10,0.1454,0.2,0.002,0
Istari BM25,hospital management companies,50,0.0858,0.08,0.004,2
Istari BM25,hospital management companies,100,0.0607,0.05,0.005,2
Istari BM25,hospital management companies,500,0.0366,0.03,0.015,12
Istari BM25,hospital management companies,1000,0.0345,0.03,0.03,15
Istari BM25,medical device manufacturers,10,0.0621,0.1,0.001,0
Istari BM25,medical device manufacturers,50,0.0671,0.08,0.004,0
Istari BM25,medical device manufacturers,100,0.0788,0.09,0.009,1
Istari BM25,medical device manufacturers,500,0.0681,0.068,0.034,19
Istari BM25,medical device manufacturers,1000,0.0687,0.068,0.068,34
Istari BM25,telecommunications companies,10,0.0,0.0,0.0,0
Istari BM25,telecommunications companies,50,0.0156,0.02,0.001,0
Istari BM25,telecommunications companies,100,0.0237,0.03,0.003,0
Istari BM25,telecommunications companies,500,0.0156,0.016,0.008,3
Istari BM25,telecommunications companies,1000,0.0159,0.016,0.016,8
Istari BM25,internet service providers,10,0.0,0.0,0.0,0
Istari BM25,internet service providers,50,0.0,0.0,0.0,0
Istari BM25,internet service providers,100,0.0,0.0,0.0,0
Istari BM25,internet service providers,500,0.0,0.0,0.0,0
Istari BM25,internet service providers,1000,0.0,0.0,0.0,0
Istari BM25,manufacturing automation companies,10,0.0,0.0,0.0,0
Istari BM25,manufacturing automation companies,50,0.0177,0.02,0.001,0
Istari BM25,manufacturing automation companies,100,0.0252,0.03,0.003,0
Istari BM25,manufacturing automation companies,500,0.0449,0.05,0.025,18
Istari BM25,manufacturing automation companies,1000,0.0471,0.05,0.05,25
Istari BM25,robotics companies,10,0.186,0.2,0.002,0
Istari BM25,robotics companies,50,0.1561,0.16,0.008,1
Istari BM25,robotics companies,100,0.1868,0.2,0.02,3
Istari BM25,robotics companies,500,0.1427,0.138,0.069,38
Istari BM25,robotics companies,1000,0.1417,0.138,0.138,69
Istari BM25,3D printing companies,10,0.0,0.0,0.0,0
Istari BM25,3D printing companies,50,0.0,0.0,0.0,0
Istari BM25,3D printing companies,100,0.0,0.0,0.0,0
Istari BM25,3D printing companies,500,0.0108,0.012,0.006,4
Istari BM25,3D printing companies,1000,0.0113,0.012,0.012,6
Istari BM25,packaging companies,10,0.0,0.0,0.0,0
Istari BM25,packaging companies,50,0.0144,0.02,0.001,0
Istari BM25,packaging companies,100,0.0089,0.01,0.001,0
Istari BM25,packaging companies,500,0.0217,0.024,0.012,4
Istari BM25,packaging companies,1000,0.0226,0.024,0.024,12
Istari BM25,food processing companies,10,0.1471,0.2,0.002,0
Istari BM25,food processing companies,50,0.1163,0.12,0.006,1
Istari BM25,food processing companies,100,0.0949,0.09,0.009,3
Istari BM25,food processing companies,500,0.0905,0.088,0.044,29
Istari BM25,food processing companies,1000,0.0904,0.088,0.088,44
Istari BM25,beverage companies,10,0.0,0.0,0.0,0
Istari BM25,beverage companies,50,0.059,0.08,0.004,0
Istari BM25,beverage companies,100,0.0729,0.09,0.009,1
Istari BM25,beverage companies,500,0.0579,0.058,0.029,20
Istari BM25,beverage companies,1000,0.0587,0.058,0.058,29
Istari BM25,mining companies,10,0.0658,0.1,0.001,0
Istari BM25,mining companies,50,0.0857,0.1,0.005,0
Istari BM25,mining companies,100,0.0895,0.1,0.01,2
Istari BM25,mining companies,500,0.0731,0.072,0.036,21
Istari BM25,mining companies,1000,0.0733,0.072,0.072,36
Istari BM25,oil and gas companies,10,0.0,0.0,0.0,0
Istari BM25,oil and gas companies,50,0.1106,0.14,0.007,1
Istari BM25,oil and gas companies,100,0.0686,0.07,0.007,2
Istari BM25,oil and gas companies,500,0.0761,0.076,0.038,20
Istari BM25,oil and gas companies,1000,0.0766,0.076,0.076,38
Istari BM25,energy storage companies,10,0.2228,0.3,0.003,0
Istari BM25,energy storage companies,50,0.2226,0.24,0.012,4
Istari BM25,energy storage companies,100,0.1907,0.19,0.019,8
Istari BM25,energy storage companies,500,0.1065,0.094,0.047,29
Istari BM25,energy storage companies,1000,0.1026,0.094,0.094,47
Istari BM25,waste management companies,10,0.0911,0.1,0.001,0
Istari BM25,waste management companies,50,0.0324,0.02,0.001,0
Istari BM25,waste management companies,100,0.0496,0.05,0.005,0
Istari BM25,waste management companies,500,0.0376,0.036,0.018,9
Istari BM25,waste management companies,1000,0.0371,0.036,0.036,18
Istari BM25,water treatment companies,10,0.2099,0.2,0.002,0
Istari BM25,water treatment companies,50,0.1517,0.14,0.007,3
Istari BM25,water treatment companies,100,0.1172,0.1,0.01,4
Istari BM25,water treatment companies,500,0.0588,0.048,0.024,12
Istari BM25,water treatment companies,1000,0.0546,0.048,0.048,24
Istari BM25,aerospace companies,10,0.4135,0.3,0.003,0
Istari BM25,aerospace companies,50,0.3437,0.32,0.016,0
Istari BM25,aerospace companies,100,0.2668,0.23,0.023,0
Istari BM25,aerospace companies,500,0.1825,0.164,0.082,38
Istari BM25,aerospace companies,1000,0.1759,0.164,0.164,82
Istari BM25,defense contractors,10,0.0757,0.1,0.001,0
Istari BM25,defense contractors,50,0.0273,0.02,0.001,0
Istari BM25,defense contractors,100,0.0457,0.05,0.005,0
Istari BM25,defense contractors,500,0.0469,0.048,0.024,13
Istari BM25,defense contractors,1000,0.0478,0.048,0.048,24
Istari BM25,transportation companies,10,0.2118,0.1,0.001,0
Istari BM25,transportation companies,50,0.0753,0.02,0.001,0
Istari BM25,transportation companies,100,0.0612,0.03,0.003,0
Istari BM25,transportation companies,500,0.0237,0.012,0.006,4
Istari BM25,transportation companies,1000,0.0189,0.012,0.012,6
Istari BM25,shipping companies,10,0.0,0.0,0.0,0
Istari BM25,shipping companies,50,0.0311,0.04,0.002,0
