method,query,k,ndcg,precision,recall,overlap
Istari BM25,tax preparation services,100,0.0278,0.03,0.003,0
Istari BM25,tax preparation services,500,0.0358,0.038,0.019,7
Istari BM25,tax preparation services,1000,0.0367,0.038,0.038,19
Istari BM25,payroll processing companies,10,0.1324,0.2,0.002,0
Istari BM25,payroll processing companies,50,0.2703,0.32,0.016,2
Istari BM25,payroll processing companies,100,0.2355,0.25,0.025,3
Istari BM25,payroll processing companies,500,0.2649,0.274,0.137,84
Istari BM25,payroll processing companies,1000,0.2706,0.274,0.274,137
Istari BM25,financial planning services,10,0.0,0.0,0.0,0
Istari BM25,financial planning services,50,0.0,0.0,0.0,0
Istari BM25,financial planning services,100,0.0,0.0,0.0,0
Istari BM25,financial planning services,500,0.0016,0.002,0.001,1
Istari BM25,financial planning services,1000,0.0018,0.002,0.002,1
Istari BM25,investment management firms,10,0.0,0.0,0.0,0
Istari BM25,investment management firms,50,0.0,0.0,0.0,0
Istari BM25,investment management firms,100,0.0,0.0,0.0,0
Istari BM25,investment management firms,500,0.0035,0.004,0.002,1
Istari BM25,investment management firms,1000,0.0037,0.004,0.004,2
Istari BM25,wealth management firms,10,0.0671,0.1,0.001,0
Istari BM25,wealth management firms,50,0.0569,0.06,0.003,0
Istari BM25,wealth management firms,100,0.0577,0.06,0.006,1
Istari BM25,wealth management firms,500,0.0366,0.034,0.017,11
Istari BM25,wealth management firms,1000,0.0358,0.034,0.034,17
Istari BM25,commercial real estate brokers,10,0.0,0.0,0.0,0
Istari BM25,commercial real estate brokers,50,0.0,0.0,0.0,0
Istari BM25,commercial real estate brokers,100,0.0071,0.01,0.001,0
Istari BM25,commercial real estate brokers,500,0.014,0.016,0.008,4
Istari BM25,commercial real estate brokers,1000,0.0148,0.016,0.016,8
Istari BM25,residential real estate brokers,10,0.0,0.0,0.0,0
Istari BM25,residential real estate brokers,50,0.0,0.0,0.0,0
Istari BM25,residential real estate brokers,100,0.0,0.0,0.0,0
Istari BM25,residential real estate brokers,500,0.007,0.008,0.004,3
Istari BM25,residential real estate brokers,1000,0.0074,0.008,0.008,4
Istari BM25,construction equipment manufacturers,10,0.0,0.0,0.0,0
Istari BM25,construction equipment manufacturers,50,0.0206,0.02,0.001,0
Istari BM25,construction equipment manufacturers,100,0.0208,0.02,0.002,1
Istari BM25,construction equipment manufacturers,500,0.0128,0.012,0.006,4
Istari BM25,construction equipment manufacturers,1000,0.0125,0.012,0.012,6
Istari BM25,building materials suppliers,10,0.0,0.0,0.0,0
Istari BM25,building materials suppliers,50,0.0358,0.04,0.002,0
Istari BM25,building materials suppliers,100,0.0301,0.03,0.003,0
Istari BM25,building materials suppliers,500,0.0198,0.018,0.009,5
Istari BM25,building materials suppliers,1000,0.0192,0.018,0.018,9
Istari BM25,renewable energy project developers,10,0.1047,0.1,0.001,0
Istari BM25,renewable energy project developers,50,0.2116,0.24,0.012,1
Istari BM25,renewable energy project developers,100,0.1767,0.18,0.018,1
Istari BM25,renewable energy project developers,500,0.1243,0.118,0.059,29
Istari BM25,renewable energy project developers,1000,0.1227,0.118,0.118,59
Istari BM25,sustainable agriculture companies,10,0.2663,0.2,0.002,0
Istari BM25,sustainable agriculture companies,50,0.1555,0.12,0.006,1
Istari BM25,sustainable agriculture companies,100,0.104,0.07,0.007,1
Istari BM25,sustainable agriculture companies,500,0.0622,0.048,0.024,12
Istari BM25,sustainable agriculture companies,1000,0.0567,0.048,0.048,24
Istari BM25,vertical farming companies,10,0.5139,0.7,0.007,0
Istari BM25,vertical farming companies,50,0.5324,0.58,0.029,4
Istari BM25,vertical farming companies,100,0.5191,0.54,0.054,15
Istari BM25,vertical farming companies,500,0.3828,0.36,0.18,139
Istari BM25,vertical farming companies,1000,0.3799,0.36,0.36,180
Istari BM25,precision agriculture technology providers,10,0.3204,0.3,0.003,0
Istari BM25,precision agriculture technology providers,50,0.2956,0.3,0.015,3
Istari BM25,precision agriculture technology providers,100,0.2801,0.28,0.028,6
Istari BM25,precision agriculture technology providers,500,0.226,0.22,0.11,78
Istari BM25,precision agriculture technology providers,1000,0.2271,0.22,0.22,110
Istari BM25,alternative protein manufacturers,10,0.2003,0.2,0.002,0
Istari BM25,alternative protein manufacturers,50,0.2139,0.22,0.011,3
Istari BM25,alternative protein manufacturers,100,0.1847,0.18,0.018,4
Istari BM25,alternative protein manufacturers,500,0.1573,0.15,0.075,56
Istari BM25,alternative protein manufacturers,1000,0.1563,0.15,0.15,75
Istari BM25 + Filter,software companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,software companies,50,0.0,0.0,0.0,0
Istari BM25 + Filter,software companies,100,0.008,0.01,0.001,0
Istari BM25 + Filter,software companies,500,0.0056,0.006,0.003,1
Istari BM25 + Filter,software companies,1000,0.0058,0.006,0.006,3
Istari BM25 + Filter,healthcare providers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,healthcare providers,50,0.0,0.0,0.0,0
Istari BM25 + Filter,healthcare providers,100,0.0073,0.01,0.001,0
Istari BM25 + Filter,healthcare providers,500,0.0038,0.004,0.002,1
Istari BM25 + Filter,healthcare providers,1000,0.0039,0.004,0.004,2
Istari BM25 + Filter,AI startups in Berlin,10,0.0,0.0,0.0,0
Istari BM25 + Filter,AI startups in Berlin,50,0.1304,0.16,0.008,6
Istari BM25 + Filter,AI startups in Berlin,100,0.1108,0.12,0.012,6
Istari BM25 + Filter,AI startups in Berlin,500,0.0773,0.072,0.036,27
Istari BM25 + Filter,AI startups in Berlin,1000,0.0767,0.072,0.072,36
Istari BM25 + Filter,renewable energy companies in Germany,10,0.0,0.0,0.0,0
Istari BM25 + Filter,renewable energy companies in Germany,50,0.0605,0.08,0.004,1
Istari BM25 + Filter,renewable energy companies in Germany,100,0.0823,0.1,0.01,3
Istari BM25 + Filter,renewable energy companies in Germany,500,0.0655,0.066,0.033,27
Istari BM25 + Filter,renewable energy companies in Germany,1000,0.0668,0.066,0.066,33
Istari BM25 + Filter,companies providing cloud migration services,10,0.1601,0.2,0.002,0
Istari BM25 + Filter,companies providing cloud migration services,50,0.1279,0.14,0.007,2
Istari BM25 + Filter,companies providing cloud migration services,100,0.1391,0.15,0.015,4
Istari BM25 + Filter,companies providing cloud migration services,500,0.1181,0.118,0.059,32
Istari BM25 + Filter,companies providing cloud migration services,1000,0.1191,0.118,0.118,59
Istari BM25 + Filter,B2B SaaS platforms,10,0.3338,0.2,0.002,0
Istari BM25 + Filter,B2B SaaS platforms,50,0.2165,0.18,0.009,2
Istari BM25 + Filter,B2B SaaS platforms,100,0.1957,0.17,0.017,5
Istari BM25 + Filter,B2B SaaS platforms,500,0.1346,0.12,0.06,40
Istari BM25 + Filter,B2B SaaS platforms,1000,0.1299,0.12,0.12,60
Istari BM25 + Filter,machine learning companies,10,0.1604,0.2,0.002,0
Istari BM25 + Filter,machine learning companies,50,0.1708,0.18,0.009,4
Istari BM25 + Filter,machine learning companies,100,0.1675,0.17,0.017,8
Istari BM25 + Filter,machine learning companies,500,0.0943,0.084,0.042,36
Istari BM25 + Filter,machine learning companies,1000,0.0914,0.084,0.084,42
Istari BM25 + Filter,IoT solution providers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,IoT solution providers,50,0.054,0.08,0.004,0
Istari BM25 + Filter,IoT solution providers,100,0.0926,0.12,0.012,0
Istari BM25 + Filter,IoT solution providers,500,0.1284,0.138,0.069,38
Istari BM25 + Filter,IoT solution providers,1000,0.1331,0.138,0.138,69
Istari BM25 + Filter,enterprise software vendors,10,0.0,0.0,0.0,0
Istari BM25 + Filter,enterprise software vendors,50,0.0169,0.02,0.001,0
Istari BM25 + Filter,enterprise software vendors,100,0.0105,0.01,0.001,1
Istari BM25 + Filter,enterprise software vendors,500,0.0102,0.01,0.005,4
Istari BM25 + Filter,enterprise software vendors,1000,0.0103,0.01,0.01,5
Istari BM25 + Filter,small consulting firms,10,0.0,0.0,0.0,0
Istari BM25 + Filter,small consulting firms,50,0.0,0.0,0.0,0
Istari BM25 + Filter,small consulting firms,100,0.0,0.0,0.0,0
Istari BM25 + Filter,small consulting firms,500,0.0102,0.012,0.006,4
Istari BM25 + Filter,small consulting firms,1000,0.0109,0.012,0.012,6
Istari BM25 + Filter,tech companies in Munich,10,0.0,0.0,0.0,0
Istari BM25 + Filter,tech companies in Munich,50,0.0,0.0,0.0,0
Istari BM25 + Filter,tech companies in Munich,100,0.0,0.0,0.0,0
Istari BM25 + Filter,tech companies in Munich,500,0.0186,0.02,0.01,8
Istari BM25 + Filter,tech companies in Munich,1000,0.0195,0.02,0.02,10
Istari BM25 + Filter,manufacturing in Baden-Württemberg,10,0.0,0.0,0.0,0
Istari BM25 + Filter,manufacturing in Baden-Württemberg,50,0.0,0.0,0.0,0
Istari BM25 + Filter,manufacturing in Baden-Württemberg,100,0.0304,0.04,0.004,2
Istari BM25 + Filter,manufacturing in Baden-Württemberg,500,0.0399,0.044,0.022,14
Istari BM25 + Filter,manufacturing in Baden-Württemberg,1000,0.042,0.044,0.044,22
Istari BM25 + Filter,e-commerce platforms,10,0.0,0.0,0.0,0
Istari BM25 + Filter,e-commerce platforms,50,0.0,0.0,0.0,0
Istari BM25 + Filter,e-commerce platforms,100,0.0,0.0,0.0,0
Istari BM25 + Filter,e-commerce platforms,500,0.0,0.0,0.0,0
Istari BM25 + Filter,e-commerce platforms,1000,0.0,0.0,0.0,0
Istari BM25 + Filter,pharmaceutical companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,pharmaceutical companies,50,0.0,0.0,0.0,0
Istari BM25 + Filter,pharmaceutical companies,100,0.0145,0.02,0.002,1
Istari BM25 + Filter,pharmaceutical companies,500,0.012,0.012,0.006,3
Istari BM25 + Filter,pharmaceutical companies,1000,0.0121,0.012,0.012,6
Istari BM25 + Filter,logistics companies in the US,10,0.0,0.0,0.0,0
Istari BM25 + Filter,logistics companies in the US,50,0.0,0.0,0.0,0
Istari BM25 + Filter,logistics companies in the US,100,0.0148,0.02,0.002,1
Istari BM25 + Filter,logistics companies in the US,500,0.0304,0.034,0.017,9
Istari BM25 + Filter,logistics companies in the US,1000,0.032,0.034,0.034,17
Istari BM25 + Filter,data analytics companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,data analytics companies,50,0.0281,0.04,0.002,0
Istari BM25 + Filter,data analytics companies,100,0.032,0.04,0.004,1
Istari BM25 + Filter,data analytics companies,500,0.0612,0.068,0.034,20
Istari BM25 + Filter,data analytics companies,1000,0.0642,0.068,0.068,34
Istari BM25 + Filter,cybersecurity firms,10,0.0,0.0,0.0,0
Istari BM25 + Filter,cybersecurity firms,50,0.0,0.0,0.0,0
Istari BM25 + Filter,cybersecurity firms,100,0.0155,0.02,0.002,0
Istari BM25 + Filter,cybersecurity firms,500,0.0337,0.038,0.019,12
Istari BM25 + Filter,cybersecurity firms,1000,0.0355,0.038,0.038,19
Istari BM25 + Filter,financial services companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,financial services companies,50,0.0,0.0,0.0,0
Istari BM25 + Filter,financial services companies,100,0.0,0.0,0.0,0
Istari BM25 + Filter,financial services companies,500,0.0016,0.002,0.001,1
Istari BM25 + Filter,financial services companies,1000,0.0017,0.002,0.002,1
Istari BM25 + Filter,retail chains in Europe,10,0.0,0.0,0.0,0
Istari BM25 + Filter,retail chains in Europe,50,0.0,0.0,0.0,0
Istari BM25 + Filter,retail chains in Europe,100,0.0211,0.03,0.003,0
Istari BM25 + Filter,retail chains in Europe,500,0.015,0.016,0.008,3
Istari BM25 + Filter,retail chains in Europe,1000,0.0156,0.016,0.016,8
Istari BM25 + Filter,construction companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,construction companies,50,0.0,0.0,0.0,0
Istari BM25 + Filter,construction companies,100,0.0,0.0,0.0,0
Istari BM25 + Filter,construction companies,500,0.0018,0.002,0.001,1
Istari BM25 + Filter,construction companies,1000,0.0019,0.002,0.002,1
Istari BM25 + Filter,marketing agencies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,marketing agencies,50,0.0,0.0,0.0,0
Istari BM25 + Filter,marketing agencies,100,0.0082,0.01,0.001,1
Istari BM25 + Filter,marketing agencies,500,0.0025,0.002,0.001,1
Istari BM25 + Filter,marketing agencies,1000,0.0023,0.002,0.002,1
Istari BM25 + Filter,human resources software,10,0.0631,0.1,0.001,0
Istari BM25 + Filter,human resources software,50,0.0579,0.06,0.003,0
Istari BM25 + Filter,human resources software,100,0.0656,0.07,0.007,0
Istari BM25 + Filter,human resources software,500,0.048,0.046,0.023,15
Istari BM25 + Filter,human resources software,1000,0.0476,0.046,0.046,23
Istari BM25 + Filter,supply chain management companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,supply chain management companies,50,0.1404,0.18,0.009,3
Istari BM25 + Filter,supply chain management companies,100,0.131,0.15,0.015,3
Istari BM25 + Filter,supply chain management companies,500,0.0929,0.092,0.046,25
Istari BM25 + Filter,supply chain management companies,1000,0.0933,0.092,0.092,46
Istari BM25 + Filter,solar panel manufacturers,10,0.344,0.4,0.004,0
Istari BM25 + Filter,solar panel manufacturers,50,0.271,0.26,0.013,3
Istari BM25 + Filter,solar panel manufacturers,100,0.2219,0.2,0.02,12
Istari BM25 + Filter,solar panel manufacturers,500,0.1692,0.156,0.078,50
Istari BM25 + Filter,solar panel manufacturers,1000,0.1652,0.156,0.156,78
Istari BM25 + Filter,agricultural technology companies,10,0.2072,0.1,0.001,0
Istari BM25 + Filter,agricultural technology companies,50,0.0942,0.04,0.002,0
Istari BM25 + Filter,agricultural technology companies,100,0.0737,0.04,0.004,0
Istari BM25 + Filter,agricultural technology companies,500,0.0364,0.024,0.012,10
Istari BM25 + Filter,agricultural technology companies,1000,0.0314,0.024,0.024,12
Istari BM25 + Filter,electric vehicle manufacturers,10,0.3232,0.3,0.003,0
Istari BM25 + Filter,electric vehicle manufacturers,50,0.1562,0.12,0.006,0
Istari BM25 + Filter,electric vehicle manufacturers,100,0.1037,0.07,0.007,0
Istari BM25 + Filter,electric vehicle manufacturers,500,0.0638,0.052,0.026,14
Istari BM25 + Filter,electric vehicle manufacturers,1000,0.0592,0.052,0.052,26
Istari BM25 + Filter,biotech companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,biotech companies,50,0.028,0.04,0.002,0
Istari BM25 + Filter,biotech companies,100,0.071,0.09,0.009,0
Istari BM25 + Filter,biotech companies,500,0.0818,0.088,0.044,28
Istari BM25 + Filter,biotech companies,1000,0.0848,0.088,0.088,44
Istari BM25 + Filter,digital transformation consultants,10,0.0,0.0,0.0,0
Istari BM25 + Filter,digital transformation consultants,50,0.0,0.0,0.0,0
Istari BM25 + Filter,digital transformation consultants,100,0.0152,0.02,0.002,1
Istari BM25 + Filter,digital transformation consultants,500,0.0288,0.032,0.016,8
Istari BM25 + Filter,digital transformation consultants,1000,0.0303,0.032,0.032,16
Istari BM25 + Filter,cloud computing providers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,cloud computing providers,50,0.0158,0.02,0.001,0
Istari BM25 + Filter,cloud computing providers,100,0.0098,0.01,0.001,0
Istari BM25 + Filter,cloud computing providers,500,0.0101,0.01,0.005,1
Istari BM25 + Filter,cloud computing providers,1000,0.0101,0.01,0.01,5
Istari BM25 + Filter,mobile app development companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,mobile app development companies,50,0.029,0.04,0.002,0
Istari BM25 + Filter,mobile app development companies,100,0.0256,0.03,0.003,0
Istari BM25 + Filter,mobile app development companies,500,0.0789,0.086,0.043,21
Istari BM25 + Filter,mobile app development companies,1000,0.0822,0.086,0.086,43
Istari BM25 + Filter,web design agencies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,web design agencies,50,0.0322,0.04,0.002,0
Istari BM25 + Filter,web design agencies,100,0.0199,0.02,0.002,0
Istari BM25 + Filter,web design agencies,500,0.0079,0.006,0.003,0
Istari BM25 + Filter,web design agencies,1000,0.0072,0.006,0.006,3
Istari BM25 + Filter,SEO companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,SEO companies,50,0.0421,0.06,0.003,0
Istari BM25 + Filter,SEO companies,100,0.041,0.05,0.005,0
Istari BM25 + Filter,SEO companies,500,0.05,0.054,0.027,17
Istari BM25 + Filter,SEO companies,1000,0.0518,0.054,0.054,27
Istari BM25 + Filter,social media marketing agencies,10,0.1034,0.1,0.001,0
Istari BM25 + Filter,social media marketing agencies,50,0.0838,0.08,0.004,1
Istari BM25 + Filter,social media marketing agencies,100,0.0592,0.05,0.005,1
Istari BM25 + Filter,social media marketing agencies,500,0.0281,0.022,0.011,7
Istari BM25 + Filter,social media marketing agencies,1000,0.0258,0.022,0.022,11
Istari BM25 + Filter,venture capital firms,10,0.0698,0.1,0.001,0
Istari BM25 + Filter,venture capital firms,50,0.0576,0.06,0.003,0
Istari BM25 + Filter,venture capital firms,100,0.0657,0.07,0.007,0
Istari BM25 + Filter,venture capital firms,500,0.0638,0.066,0.033,16
Istari BM25 + Filter,venture capital firms,1000,0.0649,0.066,0.066,33
Istari BM25 + Filter,private equity firms,10,0.0,0.0,0.0,0
Istari BM25 + Filter,private equity firms,50,0.0312,0.04,0.002,0
Istari BM25 + Filter,private equity firms,100,0.0267,0.03,0.003,0
Istari BM25 + Filter,private equity firms,500,0.0562,0.062,0.031,20
Istari BM25 + Filter,private equity firms,1000,0.0588,0.062,0.062,31
Istari BM25 + Filter,investment banks,10,0.0,0.0,0.0,0
Istari BM25 + Filter,investment banks,50,0.0,0.0,0.0,0
Istari BM25 + Filter,investment banks,100,0.0074,0.01,0.001,0
Istari BM25 + Filter,investment banks,500,0.0129,0.014,0.007,3
Istari BM25 + Filter,investment banks,1000,0.0134,0.014,0.014,7
Istari BM25 + Filter,insurance companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,insurance companies,50,0.0,0.0,0.0,0
Istari BM25 + Filter,insurance companies,100,0.0072,0.01,0.001,0
Istari BM25 + Filter,insurance companies,500,0.0059,0.006,0.003,2
Istari BM25 + Filter,insurance companies,1000,0.006,0.006,0.006,3
Istari BM25 + Filter,real estate developers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,real estate developers,50,0.0,0.0,0.0,0
Istari BM25 + Filter,real estate developers,100,0.0,0.0,0.0,0
Istari BM25 + Filter,real estate developers,500,0.005,0.006,0.003,2
Istari BM25 + Filter,real estate developers,1000,0.0054,0.006,0.006,3
Istari BM25 + Filter,property management companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,property management companies,50,0.0,0.0,0.0,0
Istari BM25 + Filter,property management companies,100,0.0,0.0,0.0,0
Istari BM25 + Filter,property management companies,500,0.0087,0.01,0.005,2
Istari BM25 + Filter,property management companies,1000,0.0092,0.01,0.01,5
Istari BM25 + Filter,hospital management companies,10,0.1454,0.2,0.002,0
Istari BM25 + Filter,hospital management companies,50,0.0858,0.08,0.004,2
Istari BM25 + Filter,hospital management companies,100,0.0607,0.05,0.005,2
Istari BM25 + Filter,hospital management companies,500,0.0366,0.03,0.015,12
Istari BM25 + Filter,hospital management companies,1000,0.0345,0.03,0.03,15
Istari BM25 + Filter,medical device manufacturers,10,0.0621,0.1,0.001,0
Istari BM25 + Filter,medical device manufacturers,50,0.0671,0.08,0.004,0
Istari BM25 + Filter,medical device manufacturers,100,0.0788,0.09,0.009,1
Istari BM25 + Filter,medical device manufacturers,500,0.0681,0.068,0.034,19
Istari BM25 + Filter,medical device manufacturers,1000,0.0687,0.068,0.068,34
Istari BM25 + Filter,telecommunications companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,telecommunications companies,50,0.0156,0.02,0.001,0
Istari BM25 + Filter,telecommunications companies,100,0.0237,0.03,0.003,0
Istari BM25 + Filter,telecommunications companies,500,0.0156,0.016,0.008,3
Istari BM25 + Filter,telecommunications companies,1000,0.0159,0.016,0.016,8
Istari BM25 + Filter,internet service providers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,internet service providers,50,0.0,0.0,0.0,0
Istari BM25 + Filter,internet service providers,100,0.0,0.0,0.0,0
Istari BM25 + Filter,internet service providers,500,0.0,0.0,0.0,0
Istari BM25 + Filter,internet service providers,1000,0.0,0.0,0.0,0
Istari BM25 + Filter,manufacturing automation companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,manufacturing automation companies,50,0.0177,0.02,0.001,0
Istari BM25 + Filter,manufacturing automation companies,100,0.0252,0.03,0.003,0
Istari BM25 + Filter,manufacturing automation companies,500,0.0449,0.05,0.025,18
Istari BM25 + Filter,manufacturing automation companies,1000,0.0471,0.05,0.05,25
Istari BM25 + Filter,robotics companies,10,0.186,0.2,0.002,0
Istari BM25 + Filter,robotics companies,50,0.1561,0.16,0.008,1
Istari BM25 + Filter,robotics companies,100,0.1868,0.2,0.02,3
Istari BM25 + Filter,robotics companies,500,0.1427,0.138,0.069,38
Istari BM25 + Filter,robotics companies,1000,0.1417,0.138,0.138,69
Istari BM25 + Filter,3D printing companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,3D printing companies,50,0.0,0.0,0.0,0
Istari BM25 + Filter,3D printing companies,100,0.0,0.0,0.0,0
Istari BM25 + Filter,3D printing companies,500,0.0108,0.012,0.006,4
Istari BM25 + Filter,3D printing companies,1000,0.0113,0.012,0.012,6
Istari BM25 + Filter,packaging companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,packaging companies,50,0.0144,0.02,0.001,0
Istari BM25 + Filter,packaging companies,100,0.0089,0.01,0.001,0
Istari BM25 + Filter,packaging companies,500,0.0217,0.024,0.012,4
Istari BM25 + Filter,packaging companies,1000,0.0226,0.024,0.024,12
Istari BM25 + Filter,food processing companies,10,0.1471,0.2,0.002,0
Istari BM25 + Filter,food processing companies,50,0.1163,0.12,0.006,1
Istari BM25 + Filter,food processing companies,100,0.0949,0.09,0.009,3
Istari BM25 + Filter,food processing companies,500,0.0905,0.088,0.044,29
Istari BM25 + Filter,food processing companies,1000,0.0904,0.088,0.088,44
Istari BM25 + Filter,beverage companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,beverage companies,50,0.059,0.08,0.004,0
Istari BM25 + Filter,beverage companies,100,0.0729,0.09,0.009,1
Istari BM25 + Filter,beverage companies,500,0.0579,0.058,0.029,20
Istari BM25 + Filter,beverage companies,1000,0.0587,0.058,0.058,29
Istari BM25 + Filter,mining companies,10,0.0658,0.1,0.001,0
Istari BM25 + Filter,mining companies,50,0.0857,0.1,0.005,0
Istari BM25 + Filter,mining companies,100,0.0895,0.1,0.01,2
Istari BM25 + Filter,mining companies,500,0.0731,0.072,0.036,21
Istari BM25 + Filter,mining companies,1000,0.0733,0.072,0.072,36
Istari BM25 + Filter,oil and gas companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,oil and gas companies,50,0.1106,0.14,0.007,1
Istari BM25 + Filter,oil and gas companies,100,0.0686,0.07,0.007,2
Istari BM25 + Filter,oil and gas companies,500,0.0761,0.076,0.038,20
Istari BM25 + Filter,oil and gas companies,1000,0.0766,0.076,0.076,38
Istari BM25 + Filter,energy storage companies,10,0.2228,0.3,0.003,0
Istari BM25 + Filter,energy storage companies,50,0.2226,0.24,0.012,4
Istari BM25 + Filter,energy storage companies,100,0.1907,0.19,0.019,8
Istari BM25 + Filter,energy storage companies,500,0.1065,0.094,0.047,29
Istari BM25 + Filter,energy storage companies,1000,0.1026,0.094,0.094,47
Istari BM25 + Filter,waste management companies,10,0.0911,0.1,0.001,0
Istari BM25 + Filter,waste management companies,50,0.0324,0.02,0.001,0
Istari BM25 + Filter,waste management companies,100,0.0496,0.05,0.005,0
Istari BM25 + Filter,waste management companies,500,0.0376,0.036,0.018,9
Istari BM25 + Filter,waste management companies,1000,0.0371,0.036,0.036,18
Istari BM25 + Filter,water treatment companies,10,0.2099,0.2,0.002,0
Istari BM25 + Filter,water treatment companies,50,0.1517,0.14,0.007,3
Istari BM25 + Filter,water treatment companies,100,0.1172,0.1,0.01,4
Istari BM25 + Filter,water treatment companies,500,0.0588,0.048,0.024,12
Istari BM25 + Filter,water treatment companies,1000,0.0546,0.048,0.048,24
Istari BM25 + Filter,aerospace companies,10,0.4135,0.3,0.003,0
Istari BM25 + Filter,aerospace companies,50,0.3437,0.32,0.016,0
Istari BM25 + Filter,aerospace companies,100,0.2668,0.23,0.023,0
Istari BM25 + Filter,aerospace companies,500,0.1825,0.164,0.082,38
Istari BM25 + Filter,aerospace companies,1000,0.1759,0.164,0.164,82
Istari BM25 + Filter,defense contractors,10,0.0757,0.1,0.001,0
Istari BM25 + Filter,defense contractors,50,0.0273,0.02,0.001,0
Istari BM25 + Filter,defense contractors,100,0.0457,0.05,0.005,0
Istari BM25 + Filter,defense contractors,500,0.0469,0.048,0.024,13
Istari BM25 + Filter,defense contractors,1000,0.0478,0.048,0.048,24
Istari BM25 + Filter,transportation companies,10,0.2118,0.1,0.001,0
Istari BM25 + Filter,transportation companies,50,0.0753,0.02,0.001,0
Istari BM25 + Filter,transportation companies,100,0.0612,0.03,0.003,0
Istari BM25 + Filter,transportation companies,500,0.0237,0.012,0.006,4
Istari BM25 + Filter,transportation companies,1000,0.0189,0.012,0.012,6
Istari BM25 + Filter,shipping companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,shipping companies,50,0.0311,0.04,0.002,0
Istari BM25 + Filter,shipping companies,100,0.0193,0.02,0.002,0
Istari BM25 + Filter,shipping companies,500,0.0408,0.044,0.022,15
Istari BM25 + Filter,shipping companies,1000,0.0422,0.044,0.044,22
Istari BM25 + Filter,trucking companies,10,0.2132,0.1,0.001,0
Istari BM25 + Filter,trucking companies,50,0.09,0.04,0.002,0
Istari BM25 + Filter,trucking companies,100,0.0557,0.02,0.002,0
Istari BM25 + Filter,trucking companies,500,0.0319,0.02,0.01,4
Istari BM25 + Filter,trucking companies,1000,0.0271,0.02,0.02,10
Istari BM25 + Filter,freight forwarding companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,freight forwarding companies,50,0.0156,0.02,0.001,0
Istari BM25 + Filter,freight forwarding companies,100,0.0168,0.02,0.002,0
Istari BM25 + Filter,freight forwarding companies,500,0.0338,0.038,0.019,7
Istari BM25 + Filter,freight forwarding companies,1000,0.0354,0.038,0.038,19
Istari BM25 + Filter,warehousing companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,warehousing companies,50,0.0292,0.04,0.002,0
Istari BM25 + Filter,warehousing companies,100,0.0628,0.08,0.008,2
Istari BM25 + Filter,warehousing companies,500,0.0542,0.056,0.028,16
Istari BM25 + Filter,warehousing companies,1000,0.0554,0.056,0.056,28
Istari BM25 + Filter,cold storage companies,10,0.5669,0.5,0.005,0
Istari BM25 + Filter,cold storage companies,50,0.4205,0.38,0.019,0
Istari BM25 + Filter,cold storage companies,100,0.3632,0.33,0.033,2
Istari BM25 + Filter,cold storage companies,500,0.316,0.3,0.15,81
Istari BM25 + Filter,cold storage companies,1000,0.3118,0.3,0.3,150
Istari BM25 + Filter,retail technology companies,10,0.0889,0.1,0.001,0
Istari BM25 + Filter,retail technology companies,50,0.1366,0.16,0.008,0
Istari BM25 + Filter,retail technology companies,100,0.1217,0.13,0.013,0
Istari BM25 + Filter,retail technology companies,500,0.0806,0.076,0.038,19
Istari BM25 + Filter,retail technology companies,1000,0.0794,0.076,0.076,38
Istari BM25 + Filter,point of sale systems providers,10,0.315,0.4,0.004,0
Istari BM25 + Filter,point of sale systems providers,50,0.2784,0.3,0.015,0
Istari BM25 + Filter,point of sale systems providers,100,0.2372,0.24,0.024,2
Istari BM25 + Filter,point of sale systems providers,500,0.249,0.248,0.124,74
Istari BM25 + Filter,point of sale systems providers,1000,0.2508,0.248,0.248,124
Istari BM25 + Filter,inventory management software,10,0.2021,0.1,0.001,0
Istari BM25 + Filter,inventory management software,50,0.1205,0.08,0.004,1
