method,query,k,ndcg,precision,recall,f1,overlap
Istari v1 BM25,oil and gas companies,100,0.0686,0.04,0.006,0.0104,2
Istari v1 BM25,oil and gas companies,200,0.096,0.07,0.021,0.0323,5
Istari v1 BM25,oil and gas companies,500,0.0761,0.05,0.0374,0.0428,20
Istari v1 BM25,oil and gas companies,816,0.0804,0.0515,0.0629,0.0566,33
Istari v1 BM25,energy storage companies,10,0.2228,0.1,0.0019,0.0036,0
Istari v1 BM25,energy storage companies,30,0.2337,0.2,0.0112,0.0211,0
Istari v1 BM25,energy storage companies,50,0.2226,0.16,0.0149,0.0272,4
Istari v1 BM25,energy storage companies,100,0.1907,0.15,0.0279,0.047,8
Istari v1 BM25,energy storage companies,200,0.1429,0.09,0.0335,0.0488,11
Istari v1 BM25,energy storage companies,500,0.1065,0.058,0.0539,0.0559,29
Istari v1 BM25,energy storage companies,816,0.107,0.0637,0.0967,0.0768,40
Istari v1 BM25,waste management companies,10,0.0911,0.1,0.001,0.002,0
Istari v1 BM25,waste management companies,30,0.0455,0.0333,0.001,0.0019,0
Istari v1 BM25,waste management companies,50,0.0324,0.02,0.001,0.0019,0
Istari v1 BM25,waste management companies,100,0.0496,0.05,0.005,0.0091,0
Istari v1 BM25,waste management companies,200,0.0416,0.04,0.008,0.0133,2
Istari v1 BM25,waste management companies,500,0.0376,0.036,0.018,0.024,9
Istari v1 BM25,waste management companies,816,0.0378,0.0368,0.03,0.033,17
Istari v1 BM25,water treatment companies,10,0.2099,0.2,0.002,0.004,0
Istari v1 BM25,water treatment companies,30,0.153,0.1333,0.004,0.0078,0
Istari v1 BM25,water treatment companies,50,0.1517,0.14,0.007,0.0133,3
Istari v1 BM25,water treatment companies,100,0.1172,0.1,0.01,0.0182,4
Istari v1 BM25,water treatment companies,200,0.0747,0.055,0.011,0.0183,6
Istari v1 BM25,water treatment companies,500,0.0588,0.048,0.024,0.032,12
Istari v1 BM25,water treatment companies,816,0.0574,0.0502,0.041,0.0452,22
Istari v1 BM25,aerospace companies,10,0.4135,0.0,0.0,0.0,0
Istari v1 BM25,aerospace companies,30,0.3267,0.0333,0.0043,0.0076,0
Istari v1 BM25,aerospace companies,50,0.3437,0.02,0.0043,0.0071,0
Istari v1 BM25,aerospace companies,100,0.2668,0.02,0.0086,0.012,0
Istari v1 BM25,aerospace companies,200,0.216,0.03,0.0258,0.0277,6
Istari v1 BM25,aerospace companies,500,0.1825,0.034,0.073,0.0464,38
Istari v1 BM25,aerospace companies,816,0.1766,0.0319,0.1116,0.0496,73
Istari v1 BM25,defense contractors,10,0.0757,0.0,0.0,0.0,0
Istari v1 BM25,defense contractors,30,0.0381,0.0,0.0,0.0,0
Istari v1 BM25,defense contractors,50,0.0273,0.0,0.0,0.0,0
Istari v1 BM25,defense contractors,100,0.0457,0.0,0.0,0.0,0
Istari v1 BM25,defense contractors,200,0.0536,0.0,0.0,0.0,0
Istari v1 BM25,defense contractors,500,0.0469,0.002,0.0312,0.0038,13
Istari v1 BM25,defense contractors,816,0.0512,0.0025,0.0625,0.0047,17
Istari v1 BM25,transportation companies,10,0.2118,0.1,0.0012,0.0024,0
Istari v1 BM25,transportation companies,30,0.1057,0.0333,0.0012,0.0023,0
Istari v1 BM25,transportation companies,50,0.0753,0.02,0.0012,0.0023,0
Istari v1 BM25,transportation companies,100,0.0612,0.03,0.0036,0.0065,0
Istari v1 BM25,transportation companies,200,0.0409,0.02,0.0048,0.0078,0
Istari v1 BM25,transportation companies,500,0.0237,0.01,0.0061,0.0075,4
Istari v1 BM25,transportation companies,816,0.0212,0.011,0.0109,0.011,5
Istari v1 BM25,shipping companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,shipping companies,30,0.0228,0.0333,0.001,0.0019,0
Istari v1 BM25,shipping companies,50,0.0311,0.04,0.002,0.0038,0
Istari v1 BM25,shipping companies,100,0.0193,0.02,0.002,0.0036,0
Istari v1 BM25,shipping companies,200,0.0318,0.035,0.007,0.0117,3
Istari v1 BM25,shipping companies,500,0.0408,0.044,0.022,0.0293,15
Istari v1 BM25,shipping companies,816,0.039,0.0404,0.033,0.0363,18
Istari v1 BM25,trucking companies,10,0.2132,0.1,0.001,0.002,0
Istari v1 BM25,trucking companies,30,0.1062,0.0333,0.001,0.0019,0
Istari v1 BM25,trucking companies,50,0.09,0.04,0.002,0.0038,0
Istari v1 BM25,trucking companies,100,0.0557,0.02,0.002,0.0036,0
Istari v1 BM25,trucking companies,200,0.0536,0.035,0.007,0.0117,1
Istari v1 BM25,trucking companies,500,0.0319,0.02,0.01,0.0133,4
Istari v1 BM25,trucking companies,816,0.0309,0.0233,0.019,0.0209,5
Istari v1 BM25,freight forwarding companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,freight forwarding companies,30,0.0219,0.0333,0.001,0.0019,0
Istari v1 BM25,freight forwarding companies,50,0.0156,0.02,0.001,0.0019,0
Istari v1 BM25,freight forwarding companies,100,0.0168,0.02,0.002,0.0036,0
Istari v1 BM25,freight forwarding companies,200,0.0218,0.025,0.005,0.0083,1
Istari v1 BM25,freight forwarding companies,500,0.0338,0.038,0.019,0.0253,7
Istari v1 BM25,freight forwarding companies,816,0.032,0.0343,0.028,0.0308,15
Istari v1 BM25,warehousing companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,warehousing companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,warehousing companies,50,0.0292,0.02,0.0017,0.0031,0
Istari v1 BM25,warehousing companies,100,0.0628,0.04,0.0068,0.0116,2
Istari v1 BM25,warehousing companies,200,0.0646,0.05,0.0169,0.0253,3
Istari v1 BM25,warehousing companies,500,0.0542,0.038,0.0322,0.0349,16
Istari v1 BM25,warehousing companies,816,0.0564,0.038,0.0525,0.0441,26
Istari v1 BM25,cold storage companies,10,0.5669,0.5,0.005,0.0099,0
Istari v1 BM25,cold storage companies,30,0.4555,0.4,0.012,0.0233,0
Istari v1 BM25,cold storage companies,50,0.4205,0.38,0.019,0.0362,0
Istari v1 BM25,cold storage companies,100,0.3632,0.33,0.033,0.06,2
Istari v1 BM25,cold storage companies,200,0.3829,0.375,0.075,0.125,11
Istari v1 BM25,cold storage companies,500,0.316,0.3,0.15,0.2,81
Istari v1 BM25,cold storage companies,816,0.3205,0.31,0.253,0.2786,129
Istari v1 BM25,retail technology companies,10,0.0889,0.1,0.0021,0.004,0
Istari v1 BM25,retail technology companies,30,0.1165,0.1333,0.0082,0.0155,0
Istari v1 BM25,retail technology companies,50,0.1366,0.12,0.0124,0.0224,0
Istari v1 BM25,retail technology companies,100,0.1217,0.1,0.0206,0.0342,0
Istari v1 BM25,retail technology companies,200,0.1014,0.07,0.0289,0.0409,3
Istari v1 BM25,retail technology companies,500,0.0806,0.036,0.0371,0.0365,19
Istari v1 BM25,retail technology companies,816,0.0818,0.0417,0.0701,0.0523,29
Istari v1 BM25,point of sale systems providers,10,0.315,0.4,0.004,0.0079,0
Istari v1 BM25,point of sale systems providers,30,0.3153,0.3667,0.011,0.0214,0
Istari v1 BM25,point of sale systems providers,50,0.2784,0.3,0.015,0.0286,0
Istari v1 BM25,point of sale systems providers,100,0.2372,0.24,0.024,0.0436,2
Istari v1 BM25,point of sale systems providers,200,0.2804,0.295,0.059,0.0983,18
Istari v1 BM25,point of sale systems providers,500,0.249,0.248,0.124,0.1653,74
Istari v1 BM25,point of sale systems providers,816,0.2606,0.261,0.213,0.2346,112
Istari v1 BM25,inventory management software,10,0.2021,0.1,0.001,0.002,0
Istari v1 BM25,inventory management software,30,0.1501,0.1,0.003,0.0058,0
Istari v1 BM25,inventory management software,50,0.1205,0.08,0.004,0.0076,1
Istari v1 BM25,inventory management software,100,0.1406,0.13,0.013,0.0236,3
Istari v1 BM25,inventory management software,200,0.1331,0.125,0.025,0.0417,12
Istari v1 BM25,inventory management software,500,0.1172,0.11,0.055,0.0733,38
Istari v1 BM25,inventory management software,816,0.1222,0.1176,0.096,0.1057,48
Istari v1 BM25,customer relationship management (CRM) software,10,0.0653,0.1,0.0012,0.0023,0
Istari v1 BM25,customer relationship management (CRM) software,30,0.0586,0.0667,0.0024,0.0046,1
Istari v1 BM25,customer relationship management (CRM) software,50,0.1224,0.16,0.0095,0.0179,2
Istari v1 BM25,customer relationship management (CRM) software,100,0.1582,0.19,0.0225,0.0403,3
Istari v1 BM25,customer relationship management (CRM) software,200,0.173,0.18,0.0427,0.069,8
Istari v1 BM25,customer relationship management (CRM) software,500,0.2101,0.204,0.121,0.1519,75
Istari v1 BM25,customer relationship management (CRM) software,816,0.2158,0.2034,0.1969,0.2001,99
Istari v1 BM25,enterprise resource planning (ERP) systems,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,enterprise resource planning (ERP) systems,30,0.0493,0.0667,0.002,0.0039,0
Istari v1 BM25,enterprise resource planning (ERP) systems,50,0.0494,0.06,0.003,0.0057,0
Istari v1 BM25,enterprise resource planning (ERP) systems,100,0.0676,0.08,0.008,0.0145,2
Istari v1 BM25,enterprise resource planning (ERP) systems,200,0.072,0.08,0.016,0.0267,5
Istari v1 BM25,enterprise resource planning (ERP) systems,500,0.0614,0.062,0.031,0.0413,18
Istari v1 BM25,enterprise resource planning (ERP) systems,816,0.0663,0.0674,0.055,0.0606,25
Istari v1 BM25,business intelligence (BI) companies,10,0.0643,0.1,0.0012,0.0025,0
Istari v1 BM25,business intelligence (BI) companies,30,0.0778,0.1,0.0037,0.0072,0
Istari v1 BM25,business intelligence (BI) companies,50,0.1669,0.18,0.0112,0.0211,3
Istari v1 BM25,business intelligence (BI) companies,100,0.1705,0.18,0.0224,0.0398,5
Istari v1 BM25,business intelligence (BI) companies,200,0.1353,0.13,0.0323,0.0518,10
Istari v1 BM25,business intelligence (BI) companies,500,0.0974,0.082,0.051,0.0629,32
Istari v1 BM25,business intelligence (BI) companies,816,0.1018,0.0895,0.0908,0.0901,41
Istari v1 BM25,IT consulting firms,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,IT consulting firms,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,IT consulting firms,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,IT consulting firms,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,IT consulting firms,200,0.0,0.0,0.0,0.0,0
Istari v1 BM25,IT consulting firms,500,0.0016,0.002,0.001,0.0013,1
Istari v1 BM25,IT consulting firms,816,0.0011,0.0012,0.001,0.0011,1
Istari v1 BM25,cybersecurity solutions providers,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cybersecurity solutions providers,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cybersecurity solutions providers,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cybersecurity solutions providers,100,0.0157,0.02,0.002,0.0036,0
Istari v1 BM25,cybersecurity solutions providers,200,0.0132,0.015,0.003,0.005,0
Istari v1 BM25,cybersecurity solutions providers,500,0.0219,0.024,0.012,0.016,5
Istari v1 BM25,cybersecurity solutions providers,816,0.024,0.0257,0.021,0.0231,11
Istari v1 BM25,cloud security providers,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cloud security providers,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cloud security providers,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cloud security providers,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cloud security providers,200,0.0039,0.005,0.0061,0.0055,1
Istari v1 BM25,cloud security providers,500,0.0085,0.004,0.0122,0.006,4
Istari v1 BM25,cloud security providers,816,0.0078,0.0037,0.0183,0.0061,4
Istari v1 BM25,managed service providers (MSPs),10,0.0592,0.1,0.0038,0.0074,0
Istari v1 BM25,managed service providers (MSPs),30,0.1026,0.1333,0.0154,0.0276,2
Istari v1 BM25,managed service providers (MSPs),50,0.1271,0.1,0.0192,0.0323,2
Istari v1 BM25,managed service providers (MSPs),100,0.2182,0.13,0.05,0.0722,3
Istari v1 BM25,managed service providers (MSPs),200,0.2438,0.125,0.0962,0.1087,19
Istari v1 BM25,managed service providers (MSPs),500,0.2219,0.1,0.1923,0.1316,73
Istari v1 BM25,managed service providers (MSPs),816,0.2396,0.1066,0.3346,0.1617,95
Istari v1 BM25,remote monitoring and management (RMM) software,10,0.7738,0.5,0.082,0.1408,2
Istari v1 BM25,remote monitoring and management (RMM) software,30,0.6325,0.3667,0.1803,0.2418,8
Istari v1 BM25,remote monitoring and management (RMM) software,50,0.5902,0.26,0.2131,0.2342,13
Istari v1 BM25,remote monitoring and management (RMM) software,100,0.499,0.23,0.377,0.2857,29
Istari v1 BM25,remote monitoring and management (RMM) software,200,0.3608,0.14,0.459,0.2146,43
Istari v1 BM25,remote monitoring and management (RMM) software,500,0.2477,0.074,0.6066,0.1319,81
Istari v1 BM25,remote monitoring and management (RMM) software,816,0.255,0.0858,1.1475,0.1596,92
Istari v1 BM25,data center providers,10,0.0628,0.1,0.0025,0.0048,0
Istari v1 BM25,data center providers,30,0.078,0.0333,0.0025,0.0046,0
Istari v1 BM25,data center providers,50,0.1391,0.12,0.0149,0.0265,0
Istari v1 BM25,data center providers,100,0.1391,0.1,0.0248,0.0398,0
Istari v1 BM25,data center providers,200,0.1156,0.065,0.0323,0.0431,4
Istari v1 BM25,data center providers,500,0.1083,0.05,0.062,0.0554,31
Istari v1 BM25,data center providers,816,0.1137,0.0551,0.1117,0.0738,44
Istari v1 BM25,web hosting companies,10,0.5207,0.7,0.007,0.0139,0
Istari v1 BM25,web hosting companies,30,0.4669,0.5,0.015,0.0291,0
Istari v1 BM25,web hosting companies,50,0.4349,0.44,0.022,0.0419,0
Istari v1 BM25,web hosting companies,100,0.2915,0.25,0.025,0.0455,0
Istari v1 BM25,web hosting companies,200,0.2964,0.275,0.055,0.0917,0
Istari v1 BM25,web hosting companies,500,0.1757,0.144,0.072,0.096,23
Istari v1 BM25,web hosting companies,816,0.1862,0.1679,0.137,0.1509,66
Istari v1 BM25,domain name registrars,10,0.485,0.1,0.0118,0.0211,0
Istari v1 BM25,domain name registrars,30,0.4868,0.0333,0.0118,0.0174,0
Istari v1 BM25,domain name registrars,50,0.5127,0.02,0.0118,0.0148,0
Istari v1 BM25,domain name registrars,100,0.4157,0.01,0.0118,0.0108,5
Istari v1 BM25,domain name registrars,200,0.3038,0.01,0.0235,0.014,11
Istari v1 BM25,domain name registrars,500,0.1891,0.006,0.0353,0.0103,53
Istari v1 BM25,domain name registrars,816,0.1863,0.0061,0.0588,0.0111,75
Istari v1 BM25,content management systems (CMS),10,0.2906,0.4,0.004,0.0079,0
Istari v1 BM25,content management systems (CMS),30,0.2354,0.2667,0.008,0.0155,2
Istari v1 BM25,content management systems (CMS),50,0.1961,0.2,0.01,0.019,2
Istari v1 BM25,content management systems (CMS),100,0.1802,0.18,0.018,0.0327,6
Istari v1 BM25,content management systems (CMS),200,0.1682,0.165,0.033,0.055,14
Istari v1 BM25,content management systems (CMS),500,0.1271,0.116,0.058,0.0773,43
Istari v1 BM25,content management systems (CMS),816,0.1353,0.1287,0.105,0.1156,53
Istari v1 BM25,e-learning platforms,10,0.5165,0.5,0.005,0.0099,0
Istari v1 BM25,e-learning platforms,30,0.3482,0.3,0.009,0.0175,1
Istari v1 BM25,e-learning platforms,50,0.3034,0.26,0.013,0.0248,2
Istari v1 BM25,e-learning platforms,100,0.2559,0.22,0.022,0.04,4
Istari v1 BM25,e-learning platforms,200,0.2103,0.18,0.036,0.06,11
Istari v1 BM25,e-learning platforms,500,0.1791,0.16,0.08,0.1067,45
Istari v1 BM25,e-learning platforms,816,0.1815,0.1691,0.138,0.152,69
Istari v1 BM25,online marketing agencies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,online marketing agencies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,online marketing agencies,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,online marketing agencies,100,0.007,0.01,0.001,0.0018,0
Istari v1 BM25,online marketing agencies,200,0.0043,0.005,0.001,0.0017,0
Istari v1 BM25,online marketing agencies,500,0.0073,0.008,0.004,0.0053,4
Istari v1 BM25,online marketing agencies,816,0.0081,0.0086,0.007,0.0077,4
Istari v1 BM25,lead generation companies,10,0.1026,0.1,0.0017,0.0033,0
Istari v1 BM25,lead generation companies,30,0.165,0.1333,0.0068,0.0129,3
Istari v1 BM25,lead generation companies,50,0.1848,0.12,0.0102,0.0187,3
Istari v1 BM25,lead generation companies,100,0.2464,0.15,0.0254,0.0435,7
Istari v1 BM25,lead generation companies,200,0.2311,0.145,0.0492,0.0734,14
Istari v1 BM25,lead generation companies,500,0.1889,0.11,0.0932,0.1009,46
Istari v1 BM25,lead generation companies,816,0.1985,0.1164,0.161,0.1351,74
Istari v1 BM25,market research firms,10,0.1331,0.1,0.001,0.002,0
Istari v1 BM25,market research firms,30,0.1888,0.2,0.006,0.0117,0
Istari v1 BM25,market research firms,50,0.1892,0.2,0.01,0.019,0
Istari v1 BM25,market research firms,100,0.1684,0.17,0.017,0.0309,0
Istari v1 BM25,market research firms,200,0.1411,0.135,0.027,0.045,4
Istari v1 BM25,market research firms,500,0.1429,0.142,0.071,0.0947,36
Istari v1 BM25,market research firms,816,0.137,0.1348,0.11,0.1211,52
Istari v1 BM25,public relations agencies,10,0.2333,0.2,0.002,0.004,0
Istari v1 BM25,public relations agencies,30,0.1838,0.1667,0.005,0.0097,0
Istari v1 BM25,public relations agencies,50,0.159,0.14,0.007,0.0133,0
Istari v1 BM25,public relations agencies,100,0.1291,0.11,0.011,0.02,0
Istari v1 BM25,public relations agencies,200,0.1019,0.085,0.017,0.0283,3
Istari v1 BM25,public relations agencies,500,0.0959,0.088,0.044,0.0587,20
Istari v1 BM25,public relations agencies,816,0.0939,0.0882,0.072,0.0793,33
Istari v1 BM25,graphic design studios,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,graphic design studios,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,graphic design studios,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,graphic design studios,100,0.0075,0.01,0.001,0.0018,0
Istari v1 BM25,graphic design studios,200,0.0045,0.005,0.001,0.0017,0
Istari v1 BM25,graphic design studios,500,0.0072,0.008,0.004,0.0053,2
Istari v1 BM25,graphic design studios,816,0.0059,0.0061,0.005,0.0055,3
Istari v1 BM25,video production companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,video production companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,video production companies,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,video production companies,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,video production companies,200,0.0,0.0,0.0,0.0,0
Istari v1 BM25,video production companies,500,0.0099,0.012,0.006,0.008,2
Istari v1 BM25,video production companies,816,0.0087,0.0098,0.008,0.0088,4
Istari v1 BM25,translation services,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,translation services,30,0.0504,0.0667,0.002,0.0039,0
Istari v1 BM25,translation services,50,0.0359,0.04,0.002,0.0038,0
Istari v1 BM25,translation services,100,0.0595,0.07,0.007,0.0127,0
Istari v1 BM25,translation services,200,0.04,0.04,0.008,0.0133,0
Istari v1 BM25,translation services,500,0.0439,0.044,0.022,0.0293,9
Istari v1 BM25,translation services,816,0.0471,0.0478,0.039,0.043,18
Istari v1 BM25,legal technology companies,10,0.2079,0.1,0.001,0.002,0
Istari v1 BM25,legal technology companies,30,0.1038,0.0333,0.001,0.0019,0
Istari v1 BM25,legal technology companies,50,0.0741,0.02,0.001,0.0019,0
Istari v1 BM25,legal technology companies,100,0.046,0.01,0.001,0.0018,0
Istari v1 BM25,legal technology companies,200,0.0279,0.005,0.001,0.0017,0
Istari v1 BM25,legal technology companies,500,0.0188,0.008,0.004,0.0053,1
Istari v1 BM25,legal technology companies,816,0.0149,0.0074,0.006,0.0066,4
Istari v1 BM25,accounting software providers,10,0.0797,0.1,0.0013,0.0025,0
Istari v1 BM25,accounting software providers,30,0.0399,0.0333,0.0013,0.0025,0
Istari v1 BM25,accounting software providers,50,0.0429,0.04,0.0026,0.0048,0
Istari v1 BM25,accounting software providers,100,0.041,0.04,0.0051,0.0091,0
Istari v1 BM25,accounting software providers,200,0.0401,0.03,0.0077,0.0122,0
Istari v1 BM25,accounting software providers,500,0.0483,0.038,0.0244,0.0297,13
Istari v1 BM25,accounting software providers,816,0.0471,0.0368,0.0385,0.0376,19
Istari v1 BM25,tax preparation services,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,tax preparation services,30,0.0283,0.0333,0.001,0.0019,0
Istari v1 BM25,tax preparation services,50,0.0201,0.02,0.001,0.0019,0
Istari v1 BM25,tax preparation services,100,0.0278,0.03,0.003,0.0055,0
Istari v1 BM25,tax preparation services,200,0.036,0.04,0.008,0.0133,0
Istari v1 BM25,tax preparation services,500,0.0358,0.038,0.019,0.0253,7
Istari v1 BM25,tax preparation services,816,0.0335,0.0343,0.028,0.0308,14
Istari v1 BM25,payroll processing companies,10,0.1324,0.2,0.002,0.004,0
Istari v1 BM25,payroll processing companies,30,0.26,0.3333,0.01,0.0194,1
Istari v1 BM25,payroll processing companies,50,0.2703,0.32,0.016,0.0305,2
Istari v1 BM25,payroll processing companies,100,0.2355,0.25,0.025,0.0455,3
Istari v1 BM25,payroll processing companies,200,0.2473,0.26,0.052,0.0867,17
Istari v1 BM25,payroll processing companies,500,0.2649,0.274,0.137,0.1827,84
Istari v1 BM25,payroll processing companies,816,0.2704,0.2757,0.225,0.2478,118
Istari v1 BM25,financial planning services,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,financial planning services,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,financial planning services,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,financial planning services,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,financial planning services,200,0.0,0.0,0.0,0.0,0
Istari v1 BM25,financial planning services,500,0.0016,0.002,0.001,0.0013,1
Istari v1 BM25,financial planning services,816,0.0011,0.0012,0.001,0.0011,1
Istari v1 BM25,investment management firms,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,investment management firms,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,investment management firms,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,investment management firms,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,investment management firms,200,0.0,0.0,0.0,0.0,0
Istari v1 BM25,investment management firms,500,0.0035,0.004,0.002,0.0027,1
Istari v1 BM25,investment management firms,816,0.0043,0.0049,0.004,0.0044,2
Istari v1 BM25,wealth management firms,10,0.0671,0.1,0.001,0.002,0
Istari v1 BM25,wealth management firms,30,0.0591,0.0667,0.002,0.0039,0
Istari v1 BM25,wealth management firms,50,0.0569,0.06,0.003,0.0057,0
Istari v1 BM25,wealth management firms,100,0.0577,0.06,0.006,0.0109,1
Istari v1 BM25,wealth management firms,200,0.0469,0.045,0.009,0.015,3
Istari v1 BM25,wealth management firms,500,0.0366,0.034,0.017,0.0227,11
Istari v1 BM25,wealth management firms,816,0.0352,0.0331,0.027,0.0297,16
Istari v1 BM25,commercial real estate brokers,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,commercial real estate brokers,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,commercial real estate brokers,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,commercial real estate brokers,100,0.0071,0.01,0.001,0.0018,0
Istari v1 BM25,commercial real estate brokers,200,0.0082,0.01,0.002,0.0033,0
Istari v1 BM25,commercial real estate brokers,500,0.014,0.016,0.008,0.0107,4
Istari v1 BM25,commercial real estate brokers,816,0.0136,0.0147,0.012,0.0132,8
Istari v1 BM25,residential real estate brokers,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,residential real estate brokers,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,residential real estate brokers,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,residential real estate brokers,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,residential real estate brokers,200,0.0039,0.005,0.001,0.0017,1
Istari v1 BM25,residential real estate brokers,500,0.007,0.008,0.004,0.0053,3
Istari v1 BM25,residential real estate brokers,816,0.0068,0.0074,0.006,0.0066,3
Istari v1 BM25,construction equipment manufacturers,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,construction equipment manufacturers,30,0.0289,0.0333,0.001,0.0019,0
Istari v1 BM25,construction equipment manufacturers,50,0.0206,0.02,0.001,0.0019,0
Istari v1 BM25,construction equipment manufacturers,100,0.0208,0.02,0.002,0.0036,1
Istari v1 BM25,construction equipment manufacturers,200,0.0126,0.01,0.002,0.0033,2
Istari v1 BM25,construction equipment manufacturers,500,0.0128,0.012,0.006,0.008,4
Istari v1 BM25,construction equipment manufacturers,816,0.0118,0.011,0.009,0.0099,5
Istari v1 BM25,building materials suppliers,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,building materials suppliers,30,0.0502,0.0667,0.002,0.0039,0
Istari v1 BM25,building materials suppliers,50,0.0358,0.04,0.002,0.0038,0
Istari v1 BM25,building materials suppliers,100,0.0301,0.03,0.003,0.0055,0
Istari v1 BM25,building materials suppliers,200,0.0297,0.03,0.006,0.01,1
Istari v1 BM25,building materials suppliers,500,0.0198,0.018,0.009,0.012,5
Istari v1 BM25,building materials suppliers,816,0.0206,0.0196,0.016,0.0176,8
Istari v1 BM25,renewable energy project developers,10,0.1047,0.1,0.001,0.002,0
Istari v1 BM25,renewable energy project developers,30,0.1979,0.2333,0.007,0.0136,1
Istari v1 BM25,renewable energy project developers,50,0.2116,0.24,0.012,0.0229,1
Istari v1 BM25,renewable energy project developers,100,0.1767,0.18,0.018,0.0327,1
Istari v1 BM25,renewable energy project developers,200,0.1428,0.135,0.027,0.045,5
Istari v1 BM25,renewable energy project developers,500,0.1243,0.118,0.059,0.0787,29
Istari v1 BM25,renewable energy project developers,816,0.1218,0.1164,0.095,0.1046,46
Istari v1 BM25,sustainable agriculture companies,10,0.2663,0.0,0.0,0.0,0
Istari v1 BM25,sustainable agriculture companies,30,0.1597,0.0333,0.0161,0.0217,0
Istari v1 BM25,sustainable agriculture companies,50,0.1555,0.02,0.0161,0.0179,1
Istari v1 BM25,sustainable agriculture companies,100,0.104,0.01,0.0161,0.0123,1
Istari v1 BM25,sustainable agriculture companies,200,0.0906,0.005,0.0161,0.0076,2
Istari v1 BM25,sustainable agriculture companies,500,0.0622,0.006,0.0484,0.0107,12
Istari v1 BM25,sustainable agriculture companies,816,0.0618,0.0049,0.0645,0.0091,19
Istari v1 BM25,vertical farming companies,10,0.5139,0.1,0.01,0.0182,0
Istari v1 BM25,vertical farming companies,30,0.5703,0.2,0.06,0.0923,3
Istari v1 BM25,vertical farming companies,50,0.5324,0.14,0.07,0.0933,4
Istari v1 BM25,vertical farming companies,100,0.5191,0.15,0.15,0.15,15
Istari v1 BM25,vertical farming companies,200,0.4569,0.125,0.25,0.1667,39
Istari v1 BM25,vertical farming companies,500,0.3828,0.112,0.56,0.1867,139
Istari v1 BM25,vertical farming companies,816,0.3996,0.1189,0.97,0.2118,159
Istari v1 BM25,precision agriculture technology providers,10,0.3204,0.2,0.004,0.0079,0
Istari v1 BM25,precision agriculture technology providers,30,0.2995,0.2333,0.0142,0.0267,1
Istari v1 BM25,precision agriculture technology providers,50,0.2956,0.26,0.0263,0.0478,3
Istari v1 BM25,precision agriculture technology providers,100,0.2801,0.22,0.0445,0.0741,6
Istari v1 BM25,precision agriculture technology providers,200,0.2354,0.18,0.0729,0.1037,16
Istari v1 BM25,precision agriculture technology providers,500,0.226,0.154,0.1559,0.1549,78
Istari v1 BM25,precision agriculture technology providers,816,0.2341,0.1605,0.2652,0.2,99
Istari v1 BM25,alternative protein manufacturers,10,0.2003,0.1,0.0244,0.0392,0
