method,query,k,ndcg,precision,recall,f1,overlap
Istari v1 BM25,manufacturing in Baden-Württemberg,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,manufacturing in Baden-Württemberg,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,manufacturing in Baden-Württemberg,100,0.0304,0.02,0.0364,0.0258,2
Istari v1 BM25,manufacturing in Baden-Württemberg,200,0.03,0.01,0.0364,0.0157,3
Istari v1 BM25,manufacturing in Baden-Württemberg,500,0.0399,0.008,0.0727,0.0144,14
Istari v1 BM25,manufacturing in Baden-Württemberg,816,0.0386,0.0074,0.1091,0.0138,18
Istari v1 BM25,e-commerce platforms,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,e-commerce platforms,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,e-commerce platforms,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,e-commerce platforms,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,e-commerce platforms,200,0.0,0.0,0.0,0.0,0
Istari v1 BM25,e-commerce platforms,500,0.0,0.0,0.0,0.0,0
Istari v1 BM25,e-commerce platforms,816,0.0,0.0,0.0,0.0,0
Istari v1 BM25,pharmaceutical companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,pharmaceutical companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,pharmaceutical companies,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,pharmaceutical companies,100,0.0145,0.02,0.002,0.0036,1
Istari v1 BM25,pharmaceutical companies,200,0.0204,0.025,0.005,0.0083,1
Istari v1 BM25,pharmaceutical companies,500,0.012,0.012,0.006,0.008,3
Istari v1 BM25,pharmaceutical companies,816,0.0143,0.0147,0.012,0.0132,5
Istari v1 BM25,logistics companies in the US,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,logistics companies in the US,30,0.0282,0.0333,0.0015,0.0028,0
Istari v1 BM25,logistics companies in the US,50,0.0202,0.02,0.0015,0.0027,0
Istari v1 BM25,logistics companies in the US,100,0.0196,0.01,0.0015,0.0026,0
Istari v1 BM25,logistics companies in the US,200,0.0199,0.015,0.0044,0.0068,1
Istari v1 BM25,logistics companies in the US,500,0.0135,0.008,0.0059,0.0068,4
Istari v1 BM25,logistics companies in the US,816,0.0154,0.0098,0.0118,0.0107,5
Istari v1 BM25,data analytics companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,data analytics companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,data analytics companies,50,0.0281,0.04,0.002,0.0038,0
Istari v1 BM25,data analytics companies,100,0.032,0.04,0.004,0.0073,1
Istari v1 BM25,data analytics companies,200,0.0354,0.04,0.008,0.0133,3
Istari v1 BM25,data analytics companies,500,0.0612,0.068,0.034,0.0453,20
Istari v1 BM25,data analytics companies,816,0.06,0.0637,0.052,0.0573,33
Istari v1 BM25,cybersecurity firms,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cybersecurity firms,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cybersecurity firms,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cybersecurity firms,100,0.0155,0.02,0.002,0.0036,0
Istari v1 BM25,cybersecurity firms,200,0.0207,0.025,0.005,0.0083,1
Istari v1 BM25,cybersecurity firms,500,0.0337,0.038,0.019,0.0253,12
Istari v1 BM25,cybersecurity firms,816,0.034,0.0368,0.03,0.033,17
Istari v1 BM25,financial services companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,financial services companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,financial services companies,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,financial services companies,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,financial services companies,200,0.0,0.0,0.0,0.0,0
Istari v1 BM25,financial services companies,500,0.0016,0.002,0.001,0.0013,1
Istari v1 BM25,financial services companies,816,0.0011,0.0012,0.001,0.0011,1
Istari v1 BM25,retail chains in Europe,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,retail chains in Europe,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,retail chains in Europe,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,retail chains in Europe,100,0.0211,0.0,0.0,0.0,0
Istari v1 BM25,retail chains in Europe,200,0.0168,0.005,0.0169,0.0077,1
Istari v1 BM25,retail chains in Europe,500,0.015,0.002,0.0169,0.0036,3
Istari v1 BM25,retail chains in Europe,816,0.0164,0.0025,0.0339,0.0046,6
Istari v1 BM25,construction companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,construction companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,construction companies,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,construction companies,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,construction companies,200,0.0,0.0,0.0,0.0,0
Istari v1 BM25,construction companies,500,0.0018,0.002,0.001,0.0013,1
Istari v1 BM25,construction companies,816,0.0022,0.0025,0.002,0.0022,1
Istari v1 BM25,marketing agencies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,marketing agencies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,marketing agencies,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,marketing agencies,100,0.0082,0.01,0.001,0.0018,1
Istari v1 BM25,marketing agencies,200,0.0049,0.005,0.001,0.0017,1
Istari v1 BM25,marketing agencies,500,0.0025,0.002,0.001,0.0013,1
Istari v1 BM25,marketing agencies,816,0.0027,0.0025,0.002,0.0022,1
Istari v1 BM25,human resources software,10,0.0631,0.1,0.001,0.002,0
Istari v1 BM25,human resources software,30,0.0606,0.0667,0.002,0.0039,0
Istari v1 BM25,human resources software,50,0.0579,0.06,0.003,0.0057,0
Istari v1 BM25,human resources software,100,0.0656,0.07,0.007,0.0127,0
Istari v1 BM25,human resources software,200,0.0596,0.06,0.012,0.02,2
Istari v1 BM25,human resources software,500,0.048,0.046,0.023,0.0307,15
Istari v1 BM25,human resources software,816,0.0491,0.0478,0.039,0.043,22
Istari v1 BM25,supply chain management companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,supply chain management companies,30,0.0999,0.0667,0.0046,0.0086,1
Istari v1 BM25,supply chain management companies,50,0.1404,0.14,0.016,0.0287,3
Istari v1 BM25,supply chain management companies,100,0.131,0.08,0.0183,0.0298,3
Istari v1 BM25,supply chain management companies,200,0.099,0.05,0.0229,0.0314,4
Istari v1 BM25,supply chain management companies,500,0.0929,0.044,0.0503,0.047,25
Istari v1 BM25,supply chain management companies,816,0.0951,0.0453,0.0847,0.0591,36
Istari v1 BM25,solar panel manufacturers,10,0.344,0.4,0.004,0.0079,0
Istari v1 BM25,solar panel manufacturers,30,0.3396,0.3667,0.011,0.0214,2
Istari v1 BM25,solar panel manufacturers,50,0.271,0.26,0.013,0.0248,3
Istari v1 BM25,solar panel manufacturers,100,0.2219,0.2,0.02,0.0364,12
Istari v1 BM25,solar panel manufacturers,200,0.2084,0.195,0.039,0.065,20
Istari v1 BM25,solar panel manufacturers,500,0.1692,0.156,0.078,0.104,50
Istari v1 BM25,solar panel manufacturers,816,0.1699,0.1605,0.131,0.1443,70
Istari v1 BM25,agricultural technology companies,10,0.2072,0.1,0.0012,0.0024,0
Istari v1 BM25,agricultural technology companies,30,0.1319,0.0667,0.0024,0.0046,0
Istari v1 BM25,agricultural technology companies,50,0.0942,0.04,0.0024,0.0045,0
Istari v1 BM25,agricultural technology companies,100,0.0737,0.04,0.0048,0.0086,0
Istari v1 BM25,agricultural technology companies,200,0.0525,0.03,0.0072,0.0116,0
Istari v1 BM25,agricultural technology companies,500,0.0364,0.022,0.0132,0.0165,10
Istari v1 BM25,agricultural technology companies,816,0.035,0.0245,0.024,0.0242,11
Istari v1 BM25,electric vehicle manufacturers,10,0.3232,0.3,0.003,0.0059,0
Istari v1 BM25,electric vehicle manufacturers,30,0.1613,0.1,0.003,0.0058,0
Istari v1 BM25,electric vehicle manufacturers,50,0.1562,0.12,0.006,0.0114,0
Istari v1 BM25,electric vehicle manufacturers,100,0.1037,0.07,0.007,0.0127,0
Istari v1 BM25,electric vehicle manufacturers,200,0.0783,0.055,0.011,0.0183,1
Istari v1 BM25,electric vehicle manufacturers,500,0.0638,0.052,0.026,0.0347,14
Istari v1 BM25,electric vehicle manufacturers,816,0.0569,0.0478,0.039,0.043,21
Istari v1 BM25,biotech companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,biotech companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,biotech companies,50,0.028,0.02,0.0024,0.0043,0
Istari v1 BM25,biotech companies,100,0.071,0.06,0.0144,0.0232,0
Istari v1 BM25,biotech companies,200,0.0815,0.05,0.0239,0.0324,5
Istari v1 BM25,biotech companies,500,0.0818,0.05,0.0598,0.0545,28
Istari v1 BM25,biotech companies,816,0.0803,0.0478,0.0933,0.0632,38
Istari v1 BM25,digital transformation consultants,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,digital transformation consultants,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,digital transformation consultants,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,digital transformation consultants,100,0.0152,0.02,0.002,0.0036,1
Istari v1 BM25,digital transformation consultants,200,0.0173,0.02,0.004,0.0067,2
Istari v1 BM25,digital transformation consultants,500,0.0288,0.032,0.016,0.0213,8
Istari v1 BM25,digital transformation consultants,816,0.0307,0.0331,0.027,0.0297,15
Istari v1 BM25,cloud computing providers,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,cloud computing providers,30,0.0222,0.0333,0.001,0.0019,0
Istari v1 BM25,cloud computing providers,50,0.0158,0.02,0.001,0.0019,0
Istari v1 BM25,cloud computing providers,100,0.0098,0.01,0.001,0.0018,0
Istari v1 BM25,cloud computing providers,200,0.0138,0.015,0.003,0.005,0
Istari v1 BM25,cloud computing providers,500,0.0101,0.01,0.005,0.0067,1
Istari v1 BM25,cloud computing providers,816,0.0099,0.0098,0.008,0.0088,3
Istari v1 BM25,mobile app development companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,mobile app development companies,30,0.0221,0.0333,0.001,0.0019,0
Istari v1 BM25,mobile app development companies,50,0.029,0.04,0.002,0.0038,0
Istari v1 BM25,mobile app development companies,100,0.0256,0.03,0.003,0.0055,0
Istari v1 BM25,mobile app development companies,200,0.0703,0.085,0.017,0.0283,3
Istari v1 BM25,mobile app development companies,500,0.0789,0.086,0.043,0.0573,21
Istari v1 BM25,mobile app development companies,816,0.0841,0.0895,0.073,0.0804,35
Istari v1 BM25,web design agencies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,web design agencies,30,0.0264,0.0333,0.001,0.0019,0
Istari v1 BM25,web design agencies,50,0.0322,0.04,0.002,0.0038,0
Istari v1 BM25,web design agencies,100,0.0199,0.02,0.002,0.0036,0
Istari v1 BM25,web design agencies,200,0.016,0.015,0.003,0.005,0
Istari v1 BM25,web design agencies,500,0.0079,0.006,0.003,0.004,0
Istari v1 BM25,web design agencies,816,0.0085,0.0074,0.006,0.0066,2
Istari v1 BM25,SEO companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,SEO companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,SEO companies,50,0.0421,0.06,0.003,0.0057,0
Istari v1 BM25,SEO companies,100,0.041,0.05,0.005,0.0091,0
Istari v1 BM25,SEO companies,200,0.0324,0.035,0.007,0.0117,1
Istari v1 BM25,SEO companies,500,0.05,0.054,0.027,0.036,17
Istari v1 BM25,SEO companies,816,0.0522,0.0551,0.045,0.0496,23
Istari v1 BM25,social media marketing agencies,10,0.1034,0.1,0.001,0.002,0
Istari v1 BM25,social media marketing agencies,30,0.098,0.1,0.003,0.0058,1
Istari v1 BM25,social media marketing agencies,50,0.0838,0.08,0.004,0.0076,1
Istari v1 BM25,social media marketing agencies,100,0.0592,0.05,0.005,0.0091,1
Istari v1 BM25,social media marketing agencies,200,0.0396,0.03,0.006,0.01,1
Istari v1 BM25,social media marketing agencies,500,0.0281,0.022,0.011,0.0147,7
Istari v1 BM25,social media marketing agencies,816,0.0265,0.0221,0.018,0.0198,9
Istari v1 BM25,venture capital firms,10,0.0698,0.1,0.001,0.002,0
Istari v1 BM25,venture capital firms,30,0.0808,0.1,0.003,0.0058,0
Istari v1 BM25,venture capital firms,50,0.0576,0.06,0.003,0.0057,0
Istari v1 BM25,venture capital firms,100,0.0657,0.07,0.007,0.0127,0
Istari v1 BM25,venture capital firms,200,0.0515,0.05,0.01,0.0167,4
Istari v1 BM25,venture capital firms,500,0.0638,0.066,0.033,0.044,16
Istari v1 BM25,venture capital firms,816,0.0608,0.0613,0.05,0.0551,29
Istari v1 BM25,private equity firms,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,private equity firms,30,0.0245,0.0333,0.001,0.0019,0
Istari v1 BM25,private equity firms,50,0.0312,0.04,0.002,0.0038,0
Istari v1 BM25,private equity firms,100,0.0267,0.03,0.003,0.0055,0
Istari v1 BM25,private equity firms,200,0.0394,0.045,0.009,0.015,1
Istari v1 BM25,private equity firms,500,0.0562,0.062,0.031,0.0413,20
Istari v1 BM25,private equity firms,816,0.0556,0.0588,0.048,0.0529,30
Istari v1 BM25,investment banks,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,investment banks,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,investment banks,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,investment banks,100,0.0074,0.01,0.0026,0.0041,0
Istari v1 BM25,investment banks,200,0.0158,0.005,0.0026,0.0034,0
Istari v1 BM25,investment banks,500,0.0129,0.004,0.0052,0.0045,3
Istari v1 BM25,investment banks,816,0.0148,0.0037,0.0079,0.005,4
Istari v1 BM25,insurance companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,insurance companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,insurance companies,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,insurance companies,100,0.0072,0.01,0.001,0.0018,0
Istari v1 BM25,insurance companies,200,0.0085,0.01,0.002,0.0033,0
Istari v1 BM25,insurance companies,500,0.0059,0.006,0.003,0.004,2
Istari v1 BM25,insurance companies,816,0.006,0.0061,0.005,0.0055,2
Istari v1 BM25,real estate developers,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,real estate developers,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,real estate developers,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,real estate developers,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,real estate developers,200,0.0,0.0,0.0,0.0,0
Istari v1 BM25,real estate developers,500,0.005,0.006,0.003,0.004,2
Istari v1 BM25,real estate developers,816,0.0044,0.0049,0.004,0.0044,3
Istari v1 BM25,property management companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,property management companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,property management companies,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,property management companies,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,property management companies,200,0.0038,0.005,0.001,0.0017,1
Istari v1 BM25,property management companies,500,0.0087,0.01,0.005,0.0067,2
Istari v1 BM25,property management companies,816,0.0089,0.0098,0.008,0.0088,2
Istari v1 BM25,hospital management companies,10,0.1454,0.0,0.0,0.0,0
Istari v1 BM25,hospital management companies,30,0.12,0.0333,0.0435,0.0377,1
Istari v1 BM25,hospital management companies,50,0.0858,0.02,0.0435,0.0274,2
Istari v1 BM25,hospital management companies,100,0.0607,0.01,0.0435,0.0163,2
Istari v1 BM25,hospital management companies,200,0.0487,0.005,0.0435,0.009,3
Istari v1 BM25,hospital management companies,500,0.0366,0.004,0.087,0.0076,12
Istari v1 BM25,hospital management companies,816,0.0385,0.0037,0.1304,0.0072,14
Istari v1 BM25,medical device manufacturers,10,0.0621,0.1,0.001,0.002,0
Istari v1 BM25,medical device manufacturers,30,0.0753,0.1,0.003,0.0058,0
Istari v1 BM25,medical device manufacturers,50,0.0671,0.08,0.004,0.0076,0
Istari v1 BM25,medical device manufacturers,100,0.0788,0.09,0.009,0.0164,1
Istari v1 BM25,medical device manufacturers,200,0.0749,0.08,0.016,0.0267,3
Istari v1 BM25,medical device manufacturers,500,0.0681,0.068,0.034,0.0453,19
Istari v1 BM25,medical device manufacturers,816,0.0709,0.0711,0.058,0.0639,29
Istari v1 BM25,telecommunications companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,telecommunications companies,30,0.0218,0.0333,0.0017,0.0032,0
Istari v1 BM25,telecommunications companies,50,0.0156,0.02,0.0017,0.0031,0
Istari v1 BM25,telecommunications companies,100,0.0237,0.02,0.0033,0.0057,0
Istari v1 BM25,telecommunications companies,200,0.0182,0.015,0.005,0.0075,1
Istari v1 BM25,telecommunications companies,500,0.0156,0.008,0.0066,0.0073,3
Istari v1 BM25,telecommunications companies,816,0.0167,0.0086,0.0116,0.0099,6
Istari v1 BM25,internet service providers,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,internet service providers,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,internet service providers,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,internet service providers,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,internet service providers,200,0.0,0.0,0.0,0.0,0
Istari v1 BM25,internet service providers,500,0.0,0.0,0.0,0.0,0
Istari v1 BM25,internet service providers,816,0.0,0.0,0.0,0.0,0
