method,query,k,ndcg,precision,recall,f1
Istari v2 Semantic,enterprise software vendors,100,0.9966,1.0,0.1,0.1818
Istari v2 Semantic,small consulting firms,10,0.9927,0.9,0.2143,0.3462
Istari v2 Semantic,small consulting firms,50,0.9764,0.44,0.5238,0.4783
Istari v2 Semantic,small consulting firms,100,0.9357,0.25,0.5952,0.3521
Istari v2 Semantic,tech companies in Munich,10,0.9927,0.9,0.225,0.36
Istari v2 Semantic,tech companies in Munich,50,0.9781,0.52,0.65,0.5778
Istari v2 Semantic,tech companies in Munich,100,0.9746,0.31,0.775,0.4429
Istari v2 Semantic,manufacturing in Baden-Württemberg,10,0.9935,1.0,0.1818,0.3077
Istari v2 Semantic,manufacturing in Baden-Württemberg,50,0.9799,0.76,0.6909,0.7238
Istari v2 Semantic,manufacturing in Baden-Württemberg,100,0.9711,0.46,0.8364,0.5935
Istari v2 Semantic,e-commerce platforms,10,0.9912,1.0,0.01,0.0198
Istari v2 Semantic,e-commerce platforms,50,0.9211,0.9,0.045,0.0857
Istari v2 Semantic,e-commerce platforms,100,0.9332,0.93,0.093,0.1691
Istari v2 Semantic,pharmaceutical companies,10,0.9906,1.0,0.01,0.0198
Istari v2 Semantic,pharmaceutical companies,50,0.9909,1.0,0.05,0.0952
Istari v2 Semantic,pharmaceutical companies,100,0.9676,0.97,0.097,0.1764
Istari v2 Semantic,logistics companies in the US,10,0.9917,1.0,0.0147,0.029
Istari v2 Semantic,logistics companies in the US,50,0.9932,0.96,0.0707,0.1317
Istari v2 Semantic,logistics companies in the US,100,0.9705,0.92,0.1355,0.2362
Our MiniLM (98K),software companies,10,0.966,0.2,0.0909,0.125
Our MiniLM (98K),software companies,50,0.8591,0.08,0.1818,0.1111
Our MiniLM (98K),software companies,100,0.8148,0.04,0.1818,0.0656
Our MiniLM (98K),healthcare providers,10,0.9522,0.0,0.0,0.0
Our MiniLM (98K),healthcare providers,50,0.9145,0.12,0.1538,0.1348
Our MiniLM (98K),healthcare providers,100,0.9114,0.09,0.2308,0.1295
Our MiniLM (98K),AI startups in Berlin,10,0.8279,0.5,0.122,0.1961
Our MiniLM (98K),AI startups in Berlin,50,0.8498,0.16,0.1951,0.1758
Our MiniLM (98K),AI startups in Berlin,100,0.8224,0.12,0.2927,0.1702
